district,christians_no,amt,muslims_no,amt,buddhists_no,amt,sikhs_no,amt,zorastrians_no,amt,jains_no,amt,total_no,amt
Bokaro,971,1271.32,5394,10387.82,282,234.86,86,705.10,,,22,308.29,6755,12907.40
Chatra,1689,690.51,1921,2086.22,2,0.12,17,36.79,2,28.00,8,53.37,3639,2895.00
Deoghar,3947,1217.58,8859,9865.64,59,159.58,59,80.65,3,13.07,10,16.50,12937,11353.02
Dhanbad,772,1456.60,14347,22482.03,356,277.22,222,2268.88,1,0.80,28,305.24,15726,26790.76
Dumka,3739,1992.76,4144,2941.99,17,11.40,16,7.61,2,7.34,7,3.50,7925,4964.60
East Singhbhum,2557,3436.35,7822,19033.66,461,507.96,1412,11232.72,6,13.78,41,242.50,12299,34466.97
Garhwa,4484,1373.76,3871,3422.54,9,0.72,7,31.76,,,9,4.99,8380,4833.77
Giridih,1692,960.09,12811,11728.47,19,18.91,50,1230.46,1,0.49,44,213.95,14617,14152.37
Godda,2728,1131.62,6206,6264.44,17,6.41,28,32.66,,,6,3.18,8985,7438.31
Gumla,2510,2334.87,1509,1429.84,1,0.20,29,130.61,,,1,0.20,4050,3895.73
Hazaribagh,1872,1852.59,7295,10300.70,106,199.04,55,594.29,2,3.36,67,347.17,9397,13297.16
Jamtara,2525,495.09,4012,2786.81,4,0.00,6,33.00,,,7,21.16,6554,3336.07
Khunti,1762,1938.69,637,916.06,41,26.95,33,46.91,1,0.28,7,21.37,2481,2950.26
Koderma,375,336.80,2669,2701.25,3,0.70,26,65.41,,,17,89.40,3090,3193.56
Latehar,2031,1191.28,2420,2619.08,15,1.21,9,53.87,,,3,1.88,4478,3867.33
Lohardaga,796,724.06,3297,3056.14,3,1.00,8,4.85,2,10.20,9,4.06,4115,3800.31
Pakur,1415,949.72,16739,14202.36,1,0.90,46,145.97,1,0.16,3,12.44,18205,15311.54
Palamu,6895,2090.53,5309,5392.59,5,11.88,22,256.17,,,17,42.25,12248,7793.42
Ramgarh,539,962.89,3516,5563.95,31,25.95,124,816.45,1,0.35,26,335.65,4237,7705.24
Ranchi,11825,20993.68,149354,90385.34,852,945.33,351,2619.60,2,1.98,87,1883.18,162471,116829.11
Sahibganj,2029,1251.27,7759,7276.14,3,1.00,12,17.96,,,1,0.68,9804,8547.05
Seraikela-Kharsawan,1887,996.66,8305,4631.38,26,37.29,53,192.13,,,12,9.76,10283,5867.22
Simdega,2662,2763.53,727,942.85,2,0.40,3,1.35,,,4,80.25,3398,3788.37
West Singhbhum,2981,1813.49,2104,2282.87,32,44.92,96,421.75,5,7.84,17,17.13,5235,4588.00
