district,target_no,amt,agriculture_no,amt,education_no,amt,housing_no,amt,personal_loans_under_nps_no,amt,others_no,amt,total_nps_no,amt,achv_pct_amt
Bokaro,57007,366465,47,76.15,58,930.31,1008,15939.87,6257,34862.75,35290,226631.89,42660,278440.96,75.98
Chatra,8429,30945,19,85.76,1,8.00,44,592.91,1025,5984.94,5097,17181.85,6186,23853.46,77.08
Deoghar,23842,96274,40,82.94,24,318.58,434,7898.92,2496,12832.79,15672,53774.01,18666,74907.23,77.81
Dhanbad,102690,493551,70,293.94,60,607.58,1535,23748.97,10765,78776.29,58185,307641.79,70615,411068.56,83.29
Dumka,13137,48278,27,33.44,2,22.19,73,1364.09,1125,4823.75,8927,31395.19,10154,37638.67,77.96
East Singhbhum,184191,953352,52,275.31,560,7739.79,2653,51817.07,13501,61535.72,132179,790530.41,148945,911898.30,95.65
Garhwa,10043,32730,21,62.18,,12.81,62,828.88,1019,4330.59,6329,21367.30,7431,26601.77,81.28
Giridih,30360,140239,72,217.01,14,145.71,246,3385.55,2852,11988.10,17220,94754.81,20404,110491.18,78.79
Godda,11892,44227,25,69.34,3,13.32,101,1849.77,1003,4728.59,7972,30471.52,9104,37132.54,83.96
Gumla,6919,26243,32,89.16,1,2.54,47,1109.88,642,3074.88,4126,15904.80,4848,20181.27,76.90
Hazaribagh,44445,154203,47,201.93,29,251.94,540,9224.14,3527,20963.04,30424,97465.79,34567,128106.84,83.08
Jamtara,6679,23087,3,3.40,3,56.51,35,352.38,518,1978.50,4351,16017.20,4910,18407.98,79.73
Khunti,5540,25527,6,3.17,4,55.00,36,675.08,380,1932.00,3579,16995.68,4005,19660.93,77.02
Koderma,14732,48870,3,4.27,4,60.61,83,1457.71,919,4927.54,8592,30931.61,9601,37381.75,76.49
Latehar,9049,30209,31,233.01,1,2.26,26,485.80,542,3262.98,4967,18975.71,5567,22959.76,76.00
Lohardaga,5470,19622,20,52.93,1,18.60,43,802.59,390,1975.25,3676,12279.45,4130,15128.82,77.10
Pakur,14104,28788,7,4.68,5,42.29,62,1287.34,402,1878.18,8821,19576.42,9297,22788.91,79.16
Palamu,24672,78864,19,86.01,7,92.91,122,2391.48,2012,9480.79,16705,49812.72,18865,61863.90,78.44
Ramgarh,23000,124334,17,90.99,16,227.48,412,6695.19,2721,21327.91,15971,83860.33,19137,112201.91,90.24
Ranchi,249859,2401988,85,26855.48,434,4479.90,4005,89559.75,16548,95055.13,162933,1812253.81,184005,2028204.06,84.44
Sahibganj,10166,33944,55,288.85,2,16.68,50,839.36,944,3775.16,6717,22010.75,7768,26930.80,79.34
Seraikela-Kharsawan,26083,96738,1,0.03,11,108.60,361,6571.38,2279,10321.13,15074,124797.09,17726,141798.23,146.58
Simdega,3744,12822,14,51.61,2,19.00,16,175.29,355,1935.79,2605,8372.73,2992,10554.42,82.31
West Singhbhum,16729,318699,11,18.82,20,297.68,163,3365.52,2256,9527.77,10367,337120.91,12817,350330.70,109.93
