district,no_of_cases_pending_as_on_previous_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_filed_during_the_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_disposed_during_the_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_pending_at_the_end_of_the_quarter_no_of_a_cs,amount_in_lacs
Bokaro,9138,27858.78,142,277.27,59,106.02,9221,28030.03
Chatra,110,136.78,10,4.60,9,1.95,111,139.43
Deoghar,3849,6209.50,14,30.19,131,149.92,3732,6089.77
Dhanbad,4826,8533.17,286,544.01,143,260.52,4969,8816.66
Dumka,702,616.46,12,46.91,1,5.00,713,658.37
East Singhbhum,1565,4437.76,123,699.46,16,28.64,1672,5108.58
Garhwa,358,240.00,1,1.50,0,0.00,359,241.50
Giridih,9558,11338.51,20,52.39,0,0.00,9578,11390.90
Godda,1188,1093.17,114,174.81,142,107.38,1161,1162.60
Gumla,219,1553.27,22,59.41,4,6.56,237,1606.12
Hazaribagh,581,1693.66,53,62.23,19,11.35,615,1744.54
Jamtara,457,395.55,114,94.78,58,53.91,513,436.42
Khunti,55,468.34,4,8.45,3,4.45,53,461.88
Koderma,49,213.16,26,69.81,0,0.00,75,282.97
Latehar,357,341.90,4,5.89,11,79.65,350,268.14
Lohardaga,67,1002.97,5,9.95,1,2.45,65,219.40
Pakur,1390,1107.58,175,276.50,68,110.64,1497,1273.44
Palamu,1195,865.43,5,20.12,0,0.00,1200,885.55
Ramgarh,437,1143.64,33,99.68,7,13.22,463,1230.10
Ranchi,2101,56861.90,258,972.27,24,1263.96,2335,56570.21
Sahibganj,1029,1140.31,180,304.09,24,29.40,1185,1415.00
Seraikela-Kharsawan,397,1108.19,61,271.17,3,3.23,455,1376.13
Simdega,76,169.18,22,154.37,0,0.00,98,323.55
West Singhbhum,407,1546.39,31,72.12,0,0.00,443,1646.40
