district,target_for_2024_25_no_of_prj,mm_involve_in_lakh,forwarded_to_bank_no_of_prj,mm_involve_in_lakh,sanctioned_by_bank_no_of_prj,mm_involve_in_lakh,margin_money_claimed_no_of_prj,mm_involve_in_lakh,mm_disbursed_no_of_prj,mm_involve_in_lakh,returned_by_bank_no_of_prj,mm_in_lakh,pending_at_bank_no_of_prj,mm_involve_in_lakh,pending_for_mm_disbursement_no_of_prj,mm_in_lakh
Bokaro,98,268.52,318,1099.96,90,246.34,98,284.78,17,13.91,148,557.39,88,358.63,97,284.09
Chatra,42,115.08,155,498.20,29,100.49,52,157.33,1,3.50,77,220.98,53,207.06,52,157.33
Deoghar,60,164.40,282,721.68,64,166.80,108,304.42,15,19.69,146,367.31,82,204.66,102,300.05
Dhanbad,97,265.78,415,972.89,168,243.27,194,356.56,26,20.67,173,487.67,94,259.64,186,348.15
Dumka,73,200.02,229,547.42,68,152.56,94,172.11,14,14.37,109,296.30,58,121.36,84,165.50
Garhwa,43,117.82,159,562.34,38,116.76,40,146.50,6,15.87,66,234.67,59,213.81,36,135.88
Giridih,70,191.80,413,1180.94,128,346.61,106,285.31,19,29.55,188,488.50,112,378.50,98,270.74
Godda,70,191.80,260,641.10,85,197.09,86,177.39,15,19.81,122,282.64,60,168.01,82,172.85
Gumla,45,123.30,178,630.76,56,171.39,59,169.09,11,16.84,91,297.97,37,174.99,48,152.25
Hazaribagh,103,282.22,463,1519.07,104,342.53,157,473.68,16,17.77,244,725.55,125,506.71,152,467.31
Jamtara,42,115.08,178,468.90,22,46.21,54,140.33,5,13.56,103,256.12,54,162.08,52,130.47
Khunti,48,131.52,146,378.29,47,89.06,67,113.17,12,14.30,76,197.39,30,91.42,61,108.43
Koderma,48,131.52,198,471.31,34,97.96,40,78.93,5,5.45,116,241.01,53,142.67,39,77.02
Latehar,35,95.90,60,218.52,21,48.06,39,92.97,8,24.92,29,121.46,11,46.53,35,80.70
Lohardaga,44,120.56,171,502.48,57,168.07,59,153.25,15,40.74,90,270.50,34,101.38,49,129.08
Pakur,48,131.52,145,246.56,32,61.67,27,48.67,8,4.72,86,140.95,27,39.42,25,47.79
Palamu,57,156.18,162,563.08,27,95.67,39,83.28,10,15.61,92,272.92,47,201.27,34,80.82
Ramgarh,72,197.28,192,676.70,58,205.71,63,217.91,3,3.15,74,232.45,65,231.59,60,214.76
Ranchi,99,271.26,522,1876.08,149,477.36,185,505.39,22,74.46,240,767.39,148,661.00,172,465.22
Sahibganj,70,191.80,219,364.32,76,94.15,124,185.08,15,14.90,121,210.18,26,53.16,121,182.69
Simdega,42,115.08,115,368.14,34,104.27,27,70.88,6,21.82,50,167.33,34,102.99,23,61.56
