district,total_disbursment_during_this_current_afy_number,amount,outstanding_at_the_end_of_reporting_quarter_number,amount,"out_of_total_kcc_issued,_no_of_rupay_cards_issued_number",kcc_card_activated_number
Bokaro,9,6.45,95,95.62,52,48
Chatra,13,10.04,26,32.55,22,21
Deoghar,7,2.04,32,12.81,10,10
Dhanbad,9,7.18,137,66.13,86,78
Dumka,7,2.02,51,20.66,19,18
East Singhbhum,12,8.35,117,89.28,39,31
Garhwa,1,1.00,2,2.52,,
Giridih,8,5.70,99,46.79,91,83
Godda,12,6.00,24,15.25,18,18
Gumla,2,2.68,22,11.91,14,9
Hazaribagh,41,47.27,157,111.79,115,104
Jamtara,3,2.50,6,3.37,2,2
Khunti,4,5.19,32,18.55,16,13
Koderma,9,11.82,86,82.30,56,31
Latehar,6,22.51,25,32.84,6,6
Lohardaga,2,2.53,62,63.81,49,44
Pakur,3,3.53,35,16.87,4,3
Palamu,1,1.55,15,9.59,1,1
Ramgarh,16,16.30,83,53.34,76,54
Ranchi,8,5.62,79,49.85,53,50
Sahibganj,37,24.67,83,55.91,59,59
Seraikela-Kharsawan,34,44.16,327,261.73,157,123
Simdega,9,8.19,61,42.65,24,18
West Singhbhum,11,18.29,105,69.33,8,7
