district,target_for_fy_2024_25_no,amt,application_received_during_current_fiscal_no,sanctioned_during_the_year_including_application_received_during_previous_year_n,amount,of_which_girl_student_no,amount,disbursed_during_the_financial_year_2024_25_till_31st_december_2024_no,amount,education_loan_outstanding_as_on_31st_december_2024_no,amount,of_which_girl_student_no,amount,col_15
Bokaro,1545,3520,434,434,3041.27,152,1412.22,1065,2534.04,3488,14835.49,1082,5200.83,
Chatra,78,175,14,14,101.93,4,55.13,44,88.07,244,763.53,38,138.99,
Deoghar,495,1378,121,121,818.55,35,310.55,388,896.88,1178,5568.28,309,1808.56,
Dhanbad,2339,4640,772,772,3765.36,209,1063.62,2052,3784.02,5604,21284.09,1465,6341.42,
Dumka,80,182,20,20,101.19,5,39.64,59,119.01,258,985.68,70,257.31,
East Singhbhum,3474,13687,1042,1042,10537.37,432,4318.12,2488,11616.44,8988,63905.15,3240,23030.94,
Garhwa,125,296,26,26,122.76,7,19.99,65,92.93,290,937.29,64,202.07,
Giridih,394,843,113,113,486.08,35,213.65,255,486.91,1092,3790.88,245,1037.71,
Godda,163,312,38,38,136.10,10,36.11,145,228.20,426,1445.04,107,415.54,
Gumla,316,565,35,35,156.07,20,77.96,75,152.31,371,1088.82,201,469.41,
Hazaribagh,602,1639,178,178,1034.64,58,381.69,412,963.92,1533,6594.35,379,1852.81,
Jamtara,330,455,26,26,120.05,8,55.72,52,131.49,407,766.33,263,296.05,
Khunti,72,165,19,19,181.96,9,92.13,49,133.39,183,670.27,71,265.89,
Koderma,254,558,52,52,346.41,18,95.19,136,225.02,582,2148.05,142,549.08,
Latehar,121,204,21,21,69.56,11,45.40,54,93.66,204,560.99,85,173.40,
Lohardaga,67,126,22,22,86.06,6,11.38,57,106.44,228,850.78,79,295.21,
Pakur,90,149,15,15,94.19,5,22.85,36,97.63,118,373.58,46,90.46,
Palamu,288,581,103,103,398.44,31,141.89,245,442.03,824,2808.21,198,743.23,
Ramgarh,406,1133,132,132,803.70,42,243.45,288,697.33,1118,4467.03,340,1607.00,
Ranchi,5186,16367,1464,1464,11948.96,547,4745.26,3549,11248.33,12710,69981.89,4628,23817.51,
Sahibganj,280,426,34,34,130.95,9,35.75,94,177.92,526,1262.87,297,521.54,
Seraikela-Kharsawan,1014,1602,212,212,883.47,56,245.52,740,1000.55,2181,7113.81,602,1752.48,
Simdega,43,175,15,15,81.36,8,57.73,27,70.21,145,428.53,67,158.35,
West Singhbhum,589,1412,109,109,726.63,44,248.58,322,886.68,1506,6629.78,672,2315.50,
