district,total_disbursement_during_the_quarter_savings_linked_no,amt,credit_linked_no,amt,total_disbursement_during_the_fy_2024_25_savings_linked_no,amt,credit_linked_no,amt,outstanding_at_the_quarter_end_no,amt,outstanding_npa_at_the_quarter_end_no,amt,loans_to_jlgs_disbursement_no,amt,outstanding_no,amt,col_18
Bokaro,124,57,247,807,939,700,1862,5424,13518,32413,416,340,6903,10634,30634,21321,
Chatra,73,64,136,443,310,196,867,2512,9974,22558,404,259,3473,4959,14333,10070,
Deoghar,95,21,116,213,1075,1028,2318,5094,9679,18253,587,560,3751,5666,22069,11637,
Dhanbad,150,41,388,1196,1284,653,3038,7344,10343,23937,379,226,9311,11252,83382,36008,
Dumka,120,50,147,247,918,363,1758,4350,10253,21342,260,258,12848,9933,27124,14268,
East Singhbhum,224,49,405,1575,1316,183,1909,6685,14405,40508,443,364,13139,16171,66640,34501,
Garhwa,73,26,84,111,269,93,490,719,10826,18337,104,78,9819,15623,38410,29566,
Giridih,141,64,254,896,2081,1903,3795,10291,17926,41841,726,575,23325,37704,80840,64857,
Godda,99,91,108,203,874,674,1379,3288,9467,23098,236,241,7478,12734,24410,20722,
Gumla,88,48,149,661,678,546,1157,3179,7642,19701,520,501,4630,8665,7237,9147,
Hazaribagh,151,96,282,861,626,245,1508,4491,16075,40984,412,303,10268,15775,46438,29359,
Jamtara,115,27,97,135,509,430,730,1258,6217,11686,203,308,552,192,1171,341,
Khunti,77,26,84,177,417,161,440,958,5040,12889,120,152,1922,2412,9960,4338,
Koderma,71,30,122,435,290,107,740,2724,6903,20594,222,213,4356,8106,28285,16131,
Latehar,35,59,89,166,279,358,750,1569,7518,17873,178,116,2768,5834,8098,9660,
Lohardaga,73,2,80,373,260,32,517,1720,4796,12813,336,514,2169,2275,4638,2935,
Pakur,166,117,132,262,539,536,1033,2774,7405,18661,272,242,8150,16753,16463,22078,
Palamu,169,81,99,144,579,222,499,735,16683,31766,361,447,13402,18825,59163,39175,
Ramgarh,83,17,125,419,475,421,628,1963,6185,15227,230,288,6927,10790,23315,18057,
Ranchi,149,59,405,2441,1754,500,2483,11232,19512,54887,866,1448,11330,19214,100296,43748,
Sahibganj,187,53,76,129,892,372,903,1738,9202,19816,182,144,6415,12303,17864,18605,
Seraikela-Kharsawan,110,3,149,635,334,31,823,3160,8919,24389,491,462,2221,3250,13702,7736,
Simdega,111,13,89,237,399,74,572,1419,5531,12793,181,155,1782,831,3433,1301,
West Singhbhum,105,10,164,404,355,80,810,2046,11189,32641,223,196,2993,4770,8212,7659,
