district,female_general_a_cs,sanc_amt_in_lakhs,minority_a_cs,sanc_amt_in_lakhs,obc_a_cs,sanc_amt_in_lakhs,sc_st_a_cs,sanc_amt_in_lakhs,total_a_cs,sanc_amt_in_lakhs,male_sc_st_a_cs,sanc_amt_in_lakhs,total_a_cs,sanc_amt_in_lakhs,female+_male_total_a_cs,sanc_amt_in_lakhs
Bokaro,212,4495,8,122,60,1467,17,357,297,6442,37,780,37,780,334,7221
Chatra,34,610,1,20,21,425,1,20,57,1075,4,122,4,122,61,1198
Deoghar,154,3419,0,0,33,698,11,173,198,4290,11,170,11,170,209,4459
Dhanbad,336,7716,10,166,70,1094,25,526,441,9502,41,905,41,905,482,10406
Dumka,52,981,1,56,22,456,8,200,83,1693,13,325,13,325,96,2018
Garhwa,21,365,1,10,11,157,5,75,38,607,12,207,12,207,50,813
Giridih,82,1690,3,64,49,915,9,131,143,2798,11,191,11,191,154,2990
Godda,60,1237,2,29,24,518,5,100,91,1884,15,280,15,280,106,2164
Gumla,18,314,0,0,12,196,5,108,35,618,9,169,9,169,44,787
Hazaribagh,146,2475,7,144,85,1541,8,124,246,4284,26,510,26,510,272,4794
Jamtara,27,865,0,0,7,80,1,24,35,969,1,25,1,25,36,994
Khunti,20,454,0,0,1,15,2,58,23,526,4,60,4,60,27,586
Koderma,43,614,0,0,21,328,2,35,66,978,17,300,17,300,83,1278
Latehar,40,675,0,0,26,472,5,56,71,1204,10,183,10,183,81,1387
Lohardaga,15,252,0,0,8,120,4,124,27,496,13,167,13,167,40,663
Pakur,25,667,1,15,7,181,3,91,36,954,3,82,3,82,39,1036
Palamu,64,1390,2,56,36,625,10,140,112,2210,22,377,22,377,134,2588
Ramgarh,93,1597,1,14,25,470,6,68,125,2149,12,173,12,173,137,2322
Ranchi,683,15570,14,272,98,2117,64,1240,859,19200,119,2350,119,2350,978,21550
Sahibganj,26,569,1,10,15,233,2,58,44,870,3,35,3,35,47,905
Seraikela-Kharsawan,110,2172,0,0,11,199,4,60,125,2430,16,258,16,258,141,2688
Simdega,8,102,0,0,5,64,4,60,17,225,5,69,5,69,22,294
West Singhbhum,194,4901,1,11,23,422,21,393,239,5727,39,768,39,768,278,6494
