district,number_of_operative_casa,number_of_aadhaar_seeded_casa,pct_of_casa_aadhaar_seeding,number_of_authenticated_casa,pct_casa_authentication,col_7
Bokaro,2407995,1803439,74.89,1708247,70.94,
Chatra,1205722,997388,82.72,757575,62.83,
Deoghar,2134004,1568242,73.49,1229309,57.61,
Dhanbad,3236817,2468022,76.25,2285982,70.62,
Dumka,1602798,1153275,71.95,729186,45.49,
East Singhbhum,3356652,2390734,71.22,2183386,65.05,
Garhwa,1568739,1245429,79.39,781163,49.80,
Giridih,2865437,2334413,81.47,2023408,70.61,
Godda,1566689,1159423,74.00,794871,50.74,
Gumla,1122980,894356,79.64,810180,72.15,
Hazaribagh,2377015,1881321,79.15,1653936,69.58,
Jamtara,883991,671750,75.99,469236,53.08,
Khunti,569337,446532,78.43,428702,75.30,
Koderma,984986,798897,81.11,694358,70.49,
Latehar,853980,672104,78.70,454186,53.18,
Lohardaga,598494,493069,82.38,473058,79.04,
Pakur,1039004,789963,76.03,648493,62.41,
Palamu,2496738,1949809,78.09,1198726,48.01,
Ramgarh,1184361,882027,74.47,811825,68.55,
Ranchi,4991794,3549621,71.11,2796896,56.03,
Sahibganj,1393496,1069515,76.75,753950,54.10,
Seraikela-Kharsawan,1249613,1006803,80.57,793955,63.54,
Simdega,652471,539623,82.70,492493,75.48,
West Singhbhum,1717529,1320879,76.91,1146057,66.73,
