district,outstanding_31122024_scheduled_caste_no,amt,scheduled_tribes_no,amt,disbursed_form_01042024_to_31122024_scheduled_caste_no,amt,scheduled_tribes_no,amt,col_10
Bokaro,16477,31324.54,11558,21005.36,3414,8933.19,3398,5473.92,
Chatra,14965,15409.06,6152,7155.42,3259,3679.09,4060,1802.58,
Deoghar,16745,17485.49,14000,13005.35,4872,6405.92,9139,3557.15,
Dhanbad,27582,68810.55,13947,21460.40,5710,21648.43,3056,5942.76,
Dumka,13987,13636.17,22942,30716.63,4233,5038.72,12015,10138.67,
East Singhbhum,20264,26876.03,49703,67987.87,3831,7643.06,12239,15977.03,
Garhwa,22575,18567.87,15299,15156.93,3215,4899.76,10340,2986.26,
Giridih,25160,21115.96,13780,12962.33,3515,5008.96,4594,3035.06,
Godda,11664,12672.84,17626,24174.31,3022,4280.20,9512,7940.93,
Gumla,6352,6508.71,30777,34185.62,1018,1712.93,6968,7270.59,
Hazaribagh,27447,28918.98,11094,17384.13,5277,8681.34,4799,5223.13,
Jamtara,7266,7604.53,13169,13004.06,1897,2331.03,8023,3620.61,
Khunti,6133,5873.38,21986,25669.97,1456,1686.53,5348,6184.43,
Koderma,9640,9920.34,2507,3042.19,1643,2183.91,916,733.79,
Latehar,7935,11056.15,11058,15191.56,2549,3905.03,5846,4091.10,
Lohardaga,3477,4217.62,18008,22173.72,679,1120.60,3842,4616.44,
Pakur,5239,5832.42,15896,16922.97,1680,1982.40,8441,5123.43,
Palamu,36937,33096.93,22724,25230.22,4854,8282.39,15934,5181.59,
Ramgarh,11438,18040.64,12303,24529.08,3057,5265.59,3274,6401.15,
Ranchi,236705,109542.97,203111,194822.63,40967,35570.16,41840,53120.30,
Sahibganj,6604,8040.74,21038,20188.81,2282,3283.57,11035,6284.93,
Seraikela-Kharsawan,26053,14606.94,47659,36535.10,5400,4593.66,11736,8711.25,
Simdega,4814,4688.13,16096,16693.93,952,1046.82,3293,3130.76,
West Singhbhum,11689,14763.87,55834,65718.57,2678,4150.13,13586,14642.09,
