district,agri_infrastructure_target_no,amt,achv_no,amt,achv_pct_amt,anicillary_activities_includes_all_ancillary_activites_under_agriculture_sector,amt,achv_no,amt,achv_pct_amt,total_agriculture_farm_credit+agri_infr+anci_acti_target_no,amt,achv_no,amt,achv_pct_amt
Bokaro,95,328,15,69.17,21.11,9619,24861,5150,13626.59,54.81,84798,92403,43780,44154.47,47.78
Chatra,156,121,2,2.74,2.26,7234,12845,4115,7807.04,60.78,71489,58963,37177,28888.23,48.99
Deoghar,89,1438,10,50.49,3.51,2347,32756,601,10125.32,30.91,135525,128127,49426,45596.53,35.59
Dhanbad,230,765,31,587.46,76.81,7667,32484,4490,19622.13,60.41,88699,113147,39027,51331.49,45.37
Dumka,141,138,,,0.00,1372,4629,303,2524.74,54.55,103960,71113,41596,32426.29,45.60
East Singhbhum,89,651,17,613.38,94.23,13278,43222,7901,26642.16,61.64,131264,151362,64870,73182.67,48.35
Garhwa,114,84,1,2.30,2.75,737,1635,287,969.98,59.31,111339,108542,34654,37011.59,34.10
Giridih,202,229,11,17.77,7.75,9643,36048,5237,20466.99,56.78,126792,125031,68694,59857.56,47.87
Godda,18,23,20,22.47,97.04,2275,5589,629,2068.15,37.00,94101,77442,38480,30934.34,39.95
Gumla,25,42,,,0.00,4393,11558,2854,7387.00,63.91,49036,50395,20656,19454.82,38.60
Hazaribagh,145,280,21,73.73,26.35,9040,34415,4813,18638.28,54.16,120328,131223,58868,63873.55,48.68
Jamtara,28,25,1,1.64,6.57,2316,4078,674,1496.56,36.70,65927,50148,27416,18848.50,37.59
Khunti,17,33,2,1.92,5.74,2391,5496,1345,3114.42,56.67,37848,29424,18330,12710.80,43.20
Koderma,15,27,6,22.23,83.01,6461,17337,3347,9717.27,56.05,47532,47218,24334,22175.47,46.96
Latehar,387,153,1,0.25,0.16,1682,3207,387,769.71,24.00,46161,43810,20832,19632.74,44.81
Lohardaga,44,44,1,37.00,83.50,3611,11199,2296,7002.29,62.53,31460,35768,16577,16043.82,44.86
Pakur,356,304,5,98.86,32.57,3255,4016,1273,1856.26,46.23,47991,39358,24688,19686.99,50.02
Palamu,1484,838,8,35.18,4.20,3109,5877,635,2228.42,37.92,165527,156099,46090,49637.91,31.80
Ramgarh,48,121,9,79.69,66.10,5223,12325,3022,8145.10,66.09,51723,45084,25517,23207.56,51.48
Ranchi,364,3998,90,769.08,19.24,9976,113952,5635,84675.64,74.31,796578,518358,463140,397155.75,76.62
Sahibganj,45,158,2,3.30,2.09,1933,3089,728,1014.03,32.83,71043,64227,28141,23266.12,36.23
Seraikela-Kharsawan,35,139,10,24.88,17.93,5235,14404,3278,9676.76,67.18,128770,86141,76528,45642.80,52.99
Simdega,9,21,,,0.00,3086,6222,2137,4131.09,66.39,25949,24233,14079,11079.09,45.72
West Singhbhum,31,41,3,3.82,9.31,4535,8757,2731,6422.94,73.35,80175,62384,36321,27578.50,44.21
