district,social_infrastructure_target_no,amt,achv_no,amt,achv_pct_amt,renewable_energy_target_no,amt,achv_no,amt,achv_pct_amt,others_target_no,amt,achv_no,amt,total_priority_sector_target_no,amt,achv_no,amt,achv_pct_amt
Bokaro,22,20,4.00,9,46.45,283,265,4,7.01,2.65,27585,15549,7816.00,4877,141227,425008,67206.00,261298,61.48
Chatra,,,,,,141,159,,,0.00,4488,2479,1250.00,791,81191,91684,41636.00,49793,54.31
Deoghar,75,154,2.00,14,9.07,235,236,1,2.25,0.95,20623,10344,7673.00,4301,174634,300478,66975.00,166046,55.26
Dhanbad,86,443,5.00,16,3.56,307,269,2,1.33,0.49,52343,29591,17959.00,10913,192663,690933,82566.00,434239,62.85
Dumka,54,22,1.00,1,3.25,191,193,,,0.00,16186,8108,7717.00,4307,130343,159838,54457.00,81197,50.80
East Singhbhum,99,546,2.00,0,0.03,280,274,1,1.42,0.52,56078,30852,17477.00,10301,237387,1103967,109509.00,715171,64.78
Garhwa,172,82,2.00,0,0.17,218,246,,,0.00,11115,5967,4056.00,2560,128757,145568,41573.00,59285,40.73
Giridih,11,7,11.00,7,97.18,293,294,2,3.75,1.28,31159,17547,10292.00,6468,183787,305119,92713.00,177957,58.32
Godda,11,8,,,0.00,169,170,,,0.00,8345,5071,4745.00,3007,112970,131925,48784.00,68041,51.58
Gumla,22,4,1.00,0,3.48,160,188,,,0.00,6105,3193,2341.00,1074,59711,84105,25384.00,40743,48.44
Hazaribagh,292,355,2.00,4,1.14,275,281,,,0.00,19083,11746,6424.00,4075,162263,323744,78774.00,195841,60.49
Jamtara,,,,,,108,114,,,0.00,3673,1453,1633.00,708,74805,69975,31742.00,31539,45.07
Khunti,11,16,1.00,0,0.56,106,108,,,0.00,4705,2255,1048.00,462,46158,52171,21282.00,27561,52.83
Koderma,11,4,,,0.00,113,115,,,0.00,9635,5525,2385.00,1472,69464,119992,33305.00,71146,59.29
Latehar,,,1.00,0,,128,136,,,0.00,6391,2954,1003.00,548,57932,68845,25915.00,37673,54.72
Lohardaga,,,,,,102,108,,,0.00,7254,3813,2346.00,1392,42807,65632,21265.00,35250,53.71
Pakur,97,50,7.00,2,4.01,111,115,,,0.00,23916,12754,10981.00,5838,82528,91227,42130.00,53531,58.68
Palamu,22,234,,,0.00,239,271,1,1.74,0.64,22576,14617,6465.00,4744,199270,244880,58207.00,103015,42.07
Ramgarh,43,356,3.00,20,5.57,191,181,1,6.00,3.31,14232,8555,4560.00,2690,77965,177980,37316.00,111109,62.43
Ranchi,17667,2683,126.00,271,10.09,527,491,9,16.11,3.28,47851,38157,15100.00,15572,963234,1774002,523930.00,1236980,69.73
Sahibganj,,,,,,154,166,,,0.00,17181,10244,6704.00,4019,97843,101149,39981.00,46618,46.09
Seraikela-Kharsawan,11,5,,,0.00,193,196,,,0.00,11149,8313,3871.00,3534,162294,295275,89351.00,191870,64.98
Simdega,11,3,,,0.00,119,138,,,0.00,4216,1855,1557.00,688,33182,40955,17307.00,22145,54.07
West Singhbhum,22,9,,,0.00,266,290,,,0.00,17667,9057,4971.00,2654,108818,135548,47269.00,73990,54.59
