District,sc_st_loans,sc_st_amount,women_loans,women_amount
Aligarh,15543.0,119970.12,,
Ambedkar Nagar,406.0,3453.61,,
Amethi,5789.0,31856.59,,
Azamgarh,1353.0,7372.65,,
Bahraich,5605.0,40221.77,,
Ballia,12280.0,54077.54,,
Balrampur,6054.0,24743.69,,
Banda,4782.0,28495.4,,
Barabanki,9510.0,70071.64,,
Basti,218.0,44.75,95.0,
Budaun,238.0,39.95,139.0,
Bulandshahr,1245.0,9647.51,,
Chandauli,11877.0,49194.91,,
Chitrakoot,3084.0,14898.84,24.0,2.59
Deoria,13294.0,59954.32,,
Etah,3436.0,24441.07,,
Etawah,405.0,3199.44,,
Farrukhabad,198.0,35.42,101.0,13.9
Fatehpur,228.0,46.12,183.0,31.71
Firozabad,450.0,4874.34,,
Gautam Buddha Nagar,1279.0,40606.11,524.0,112.51
Ghaziabad,30450.0,436492.93,660.0,144.1
Ghazipur,1467.0,7482.89,104.0,18.37
Gonda,863.0,4937.83,108.0,15.68
Gorakhpur,33027.0,191826.02,475.0,84.52
Hamirpur,3838.0,19416.95,,
Hapur,198.0,43.1,162.0,32.55
Hardoi,472.0,4753.97,,
Hathras,181.0,2249.43,146.0,22.8
Jalaun,243.0,1933.28,66.0,11.05
Jaunpur,255.0,45.01,111.0,15.53
Jhansi,15959.0,81496.93,,
Kannauj,310.0,2459.85,54.0,8.1
Kanpur Dehat,320.0,3831.77,,
Kanpur Nagar,41514.0,400277.33,,
Kaushambi,58.0,9.89,38.0,5.02
Kheri,8565.0,45877.63,164.0,21.42
Kushi Nagar,603.0,4124.57,76.0,11.67
Lalitpur,5975.0,22884.0,,
Lucknow,58812.0,575292.5,,
Maharajganj,7816.0,46923.08,,
Mainpuri,179.0,2475.04,,
Mathura,107.57,402.0,,
Mau,13809.0,52350.93,,
Meerut,24449.0,198717.61,,
Mirzapur,16899.0,74700.67,,
Moradabad,637.0,7584.85,,
Muzaffarnagar,852.0,8070.91,,
Pilibhit,242.0,2803.33,,
Pratapgarh,13188.0,67640.32,,
Prayagraj,38215.0,240647.08,,
Rae Bareli,672.0,6140.79,,
Rampur,10148.0,48914.26,,
Saharanpur,393.0,72.62,309.0,
Sambhal,172.0,2001.79,,
Sant Kabeer Nagar,249.0,2514.62,,
Shahjahanpur,9353.0,48928.28,,
Shravasti,182.0,952.5,,
Siddharth Nagar,362.0,2342.39,8.11,
Sitapur,9711.0,53571.75,,
Unnao,374.0,4348.46,,
Varanasi,47496.0,286186.04,,
