District,target_projects,target_margin_money,target_employment,sponsored_projects,sanctioned_projects,sanctioned_amt,disbursed_projects
Agra,1122686.0,22958.3,116748.0,1552.94,10.4,6.76,
Aligarh,388244.0,10702.51,54690.0,1079.46,14.09,10.09,
Ambedkar Nagar,200765.0,2950.37,14311.0,222.79,7.13,7.55,
Amethi,333324.0,3260.79,406.34,15.29,12.46,11.0,
Amroha,213627.0,4467.48,567.34,14.73,12.7,,
Auraiya,85204.0,1778.86,56.12,3.52,102.11,,
Ayodhya,219636.0,4178.15,244.87,57.64,149.0,288.21,
Azamgarh,4836.16,372.08,35.0,176.0,,,
Baghpat,171955.0,2903.2,381.19,13.03,13.13,,
Bahraich,260999.0,5479.55,49791.0,714.95,19.08,267.3,
Ballia,143.35,4.94,209.0,0.0,,,
Balrampur,120951.0,11922.0,72.0,14.0,27.18,70.0,135.9
Banda,97.99,63.0,,,,,
Barabanki,175.81,23.0,43.95,113.0,,,
Bareilly,821964.0,13397.1,35.51,17.86,207.0,40153.0,
Bhadohi,120865.0,2561.92,298.61,,,,
Budaun,276267.0,5338.9,23737.0,0.0,,,
Chandauli,1000.0,11.0,209.0,0.0,0.0,0.0,
Chitrakoot,58.0,111.38,72.0,,,,
Deoria,262005.0,3749.05,14375.0,231.36,5.49,6.17,
Etah,185625.0,3935.24,8075.0,164.36,4.35,4.18,
Etawah,167126.0,3083.49,16662.0,117.87,9.97,3.82,
Fatehpur,198529.0,3764.93,11113.0,206.23,5.6,5.48,
Firozabad,258799.0,5931.31,21765.0,265.64,8.41,4.48,
Gautam Buddha Nagar,29436.13,48120.0,1352.79,15.04,4.6,0.0,
Ghaziabad,23115.42,62636.0,1421.92,24.46,6.15,,
Ghazipur,10.0,11.0,297.0,1.0,10.0,11.0,
Gonda,96.0,186.09,24.0,46.52,120.0,232.61,
Gorakhpur,601121.0,12036.92,46179.0,705.1,195.0,378.71,
Hamirpur,116074.0,2122.88,,,,,
Hapur,47.0,91.84,12.0,22.96,114.8,,
Hardoi,24.0,82.48,264.0,1.0,11.0,,
Hathras,186170.0,3964.68,13832.0,156.28,7.43,3.94,
Jalaun,147695.0,2970.15,8543.0,134.29,5.78,4.52,
Jaunpur,395785.0,5571.62,23238.0,298.5,5.87,5.36,
Jhansi,259517.0,6766.04,11942.0,306.71,4.6,4.53,
Kannauj,17.0,28.54,187.0,0.0,0.0,0.0,
Kanpur Dehat,174536.0,2575.97,8133.0,154.88,4.66,6.01,
Kanpur Nagar,183.0,355.34,46.0,88.83,229.0,444.17,
Kaushambi,1646.64,10315.0,141.38,8.76,8.59,,
Kheri,385951.0,8069.13,64053.0,1332.92,90.0,1174.97,
Kushi Nagar,337592.0,3768.43,24848.0,250.83,118.0,229.2,
Lalitpur,44.0,55.0,,,,,
Lucknow,42.0,155.27,462.0,1.0,10.0,11.0,
Maharajganj,251835.0,3288.71,17560.0,262.01,6.97,7.97,
Mahoba,13.0,19.51,143.0,0.0,0.0,,
Mau,75.0,145.31,19.0,36.33,94.0,181.64,
Meerut,159.0,308.97,40.0,77.24,199.0,386.21,
Mirzapur,77.0,149.67,19.0,37.42,96.0,187.09,
Moradabad,25.0,68.49,275.0,0.0,0.0,,
Muzaffarnagar,118.0,228.14,29.0,57.04,147.0,285.18,
Pilibhit,157.21,20.0,39.3,101.0,0.0,,
Pratapgarh,19.0,52.05,209.0,0.0,0.0,0.0,
Rae Bareli,97.0,187.9,,,,,
Rampur,230137.0,5035.52,59464.0,1170.69,25.84,23.25,
Saharanpur,131.0,254.24,33.0,63.56,164.0,317.8,
Sambhal,12.0,32.87,132.0,0.0,0.0,,
Sant Kabeer Nagar,10.0,11.0,220.0,0.0,0.0,0.0,
Shahjahanpur,10.0,11.0,176.0,0.0,0.0,0.0,
Shamli,38.0,74.46,10.0,18.61,48.0,93.07,
Siddharth Nagar,1951.43,13807.0,257.82,9.92,13.21,189.17,
Sitapur,5426.69,38570.0,545.38,11.12,10.05,264.86,
Sonbhadra,163452.0,3337.63,10089.0,158.51,6.17,4.75,
Sultanpur,16562.0,290.29,,,,,
Unnao,3395.94,5.47,176.0,0.0,0.0,0.0,
Varanasi,20839.82,182964.0,1079.29,13.42,5.18,417.72,
