District,target_no,target_amt,achievement_no,achievement_amt,achievement_pct_no,achievement_pct_amt
Agra,9.0,44.44,30.05,,,
Aligarh,6.0,1.0,16.67,,,
Amethi,3.0,0.0,13.33,,,
Amroha,1.0,20.0,2.08,,,
Ayodhya,3.0,1.0,33.33,619.97,,
Azamgarh,2.0,0.0,881.0,542.22,8.74,
Bahraich,2.0,0.0,21.43,,,
Ballia,17.0,2.0,11.76,28.17,,
Balrampur,15.0,5.0,33.33,33.83,1.24,
Banda,2.0,1.0,50.0,6.62,,
Barabanki,1.0,0.0,,,,
Bareilly,8.0,12.5,1040.0,16.38,,
Basti,1.0,0.0,2601.0,29.74,,
Bhadohi,3.0,0.0,,,,
Bijnor,12.0,0.0,,,,
Bulandshahr,3031.0,3099.0,,,,
Chandauli,3731.0,3815.0,,,,
Deoria,2.0,0.0,,,,
Etah,2113.0,2160.0,,,,
Etawah,4.0,0.0,,,,
Farrukhabad,1714.0,1753.0,8.46,,,
Fatehpur,4863.0,4973.0,,,,
Firozabad,6.0,0.0,,,,
Gautam Buddha Nagar,1.0,0.0,,,,
Ghaziabad,305.0,90.0,29.51,,,
Ghazipur,24.0,1.0,4.17,,,
Gonda,24.0,11.0,45.83,,,
Gorakhpur,1.0,33.33,26.25,,,
Hamirpur,18.0,1.0,5.56,,,
Hapur,4.0,0.0,0.0,,,
Hardoi,60.0,8.33,17.47,,,
Hathras,0.0,0.0,7.46,885818.685,,
Jalaun,4.0,1.0,25.0,,,
Jaunpur,3.0,0.0,,,,
Jhansi,2348.0,2401.0,13.12,0.31,,
Kannauj,2840.0,2904.0,34.08,,,
Kanpur Dehat,3.0,0.0,,,,
Kanpur Nagar,2060.0,2107.0,12.72,,,
Kasganj,3.0,0.0,8.32,,,
Kaushambi,2.0,0.0,,,,
Kheri,5552.0,5677.0,11.55,,,
Lalitpur,2240.0,2291.0,16.56,,,
Lucknow,2748.0,2809.0,20.05,,,
Maharajganj,4647.0,4752.0,2235.0,48.1,,
Mathura,4.0,0.0,249.0,186.0,13.92,10.16
Mau,2952.0,3019.0,692.0,547.12,23.44,18.12
Meerut,2.0,1.16,223.0,153.2,10.3,6.92
Mirzapur,4398.0,534.0,402.0,12.14,8.94,
Moradabad,6.0,0.0,,,,
Muzaffarnagar,5.0,8.06,166.0,138.96,10.39,8.51
Pilibhit,3.0,1.0,317.42,25.76,13.62,
Pratapgarh,1.0,0.0,,,,
Prayagraj,4.0,2.0,21.29,,,
Rae Bareli,1.0,0.0,12.29,,,
Rampur,6.0,2.0,,,,
Saharanpur,7.0,2.0,295.0,8.45,,
Sant Kabeer Nagar,2606.0,2666.0,1132.0,43.44,30.61,
Shamli,3.0,1.0,67.7,8.39,4.31,
Shravasti,1.0,20.0,,,,
Siddharth Nagar,2.0,0.0,659.72,29.13,16.49,
Sitapur,7.0,13.46,,,,
Sonbhadra,2.0,40.0,266.92,,,
Sultanpur,5502.0,5136.0,1790.0,1023.24,32.53,19.92
Unnao,3829.0,3915.0,404.0,261.02,10.55,6.67
Varanasi,45.0,30.41,1566.0,1214.57,36.67,27.8
