District,total_deposit,total_advances,cd_ratio
Agra,57585.2,39756.67,69.04
Aligarh,31076.95,16366.52,52.66
Ambedkar Nagar,9350.0,4891.9,52.32
Amethi,9431.93,4428.21,46.95
Baghpat,4228.33,48.97,
Bahraich,7188.46,75.03,
Barabanki,12133.51,8932.55,
Bhadohi,7972.97,3804.93,
Budaun,8497.58,6957.25,
Deoria,15461.19,6480.86,41.92
Etah,6744.56,5240.56,77.7
Fatehpur,10593.68,5220.05,49.28
Firozabad,8242.45,72.15,
Jhansi,25549.31,11613.54,45.46
Kannauj,6042.21,4110.35,68.03
Kanpur Dehat,6949.36,49.57,
Kasganj,4150.84,73.11,
Lucknow,266348.55,47.03,
Maharajganj,7228.59,5084.88,70.34
Mainpuri,7377.27,5245.05,71.1
Mathura,24654.86,15414.99,62.52
Mau,11626.22,4407.73,37.91
Meerut,52120.71,28361.81,54.42
Moradabad,28027.49,18430.55,65.76
Muzaffarnagar,20055.58,16878.55,84.16
Pilibhit,7090.46,6356.74,89.65
Rampur,9433.89,6882.97,72.96
Saharanpur,22424.22,15633.23,69.72
Sambhal,5995.1,5467.09,91.19
Shahjahanpur,11703.35,9669.59,82.62
Shamli,6554.17,4329.02,66.05
Sonbhadra,11111.69,5770.24,51.93
Sultanpur,11690.04,4922.09,42.1
