District,shishu_no,shishu_amt,kishore_no,kishore_amt,tarun_no,tarun_amt,total_no,total_amt
Ballia,15898.0,56.71,56.62,8714.0,93.06,90.83,574.0,48.19
Balrampur,2574.0,8.1,,,,,,
Banda,7484.0,27.15,26.92,2739.0,35.79,35.3,221.0,17.64
Barabanki,1800.0,6.4,6.29,2316.0,54.08,45.03,649.0,52.49
Bareilly,13079.0,45.98,45.46,7661.0,97.75,95.16,898.0,71.6
Basti,12629.0,42.97,42.92,4764.0,55.16,54.59,451.0,36.57
Bhadohi,7615.0,28.4,5176.0,61.68,60.22,349.0,28.25,26.74
Bijnor,13912.0,52.04,51.41,8565.0,85.09,82.64,803.0,64.3
Budaun,21.41,36.16,34.71,448.0,36.61,35.69,9268.0,94.34
Bulandshahr,15661.0,58.87,58.63,8110.0,79.85,76.53,658.0,54.41
Deoria,23233.0,85.56,85.39,9889.0,101.49,99.15,782.0,63.64
Etawah,1137.0,1684.0,28.19,26.14,292.0,23.47,21.55,3113.0
Farrukhabad,1289.0,4.97,4.26,1741.0,31.79,26.43,287.0,22.64
Fatehpur,4289.0,16.78,16.75,3430.0,51.11,50.32,453.0,36.33
Gautam Buddha Nagar,50.84,46.99,1095.0,730.37,726.0,4772.0,786.58,778.26
Ghazipur,16477.0,60.0,,,,,,
Gonda,19.1,19.01,2453.0,40.75,38.25,513.0,40.65,38.38
Gorakhpur,48993.0,179.55,179.17,20455.0,203.78,201.27,1597.0,134.47
Hamirpur,6196.0,19.65,19.64,1934.0,21.94,21.8,100.0,8.23
Hapur,5645.0,20.63,20.35,3678.0,38.16,36.9,281.0,22.41
Hathras,2793.0,10.97,10.83,3196.0,33.53,31.81,300.0,24.87
Jhansi,16426.0,48.2,47.98,3884.0,47.71,44.2,434.0,35.3
Kannauj,9.45,2065.0,35.61,27.64,445.0,31.91,29.9,5024.0
Kanpur Nagar,4054.0,15.18,14.99,4741.0,95.96,90.38,1670.0,139.68
Kushi Nagar,35951.0,127.42,127.05,14645.0,131.41,129.67,586.0,47.77
Mau,33.68,33.62,4561.0,59.6,57.91,472.0,39.03,37.78
Meerut,33.54,33.27,6659.0,95.43,91.83,1170.0,95.37,92.39
Mirzapur,56.89,55.3,7638.0,80.12,78.71,615.0,47.07,45.88
Moradabad,7085.0,28.92,28.27,4346.0,64.241,59.11,863.0,74.73
Muzaffarnagar,16797.0,61.08,60.4,7995.0,81.45,77.03,567.0,46.99
Pilibhit,1881.0,7.78,1566.0,28.08,26.96,295.0,23.5,22.67
Pratapgarh,44.58,44.33,269.0,21.45,21.18,9790.0,88.2,87.64
Rae Bareli,66.38,65.49,778.0,64.89,64.07,12896.0,157.0,155.13
Rampur,4227.0,13.86,2931.0,36.8,35.37,331.0,27.61,26.39
Sambhal,4369.0,17.22,1721.0,19.74,18.5,201.0,16.47,15.46
Shravasti,2876.0,9.12,9.11,643.0,14.52,14.24,207.0,15.49
Siddharth Nagar,7895.0,26.69,26.65,2852.0,39.28,38.4,367.0,30.4
Varanasi,28789.0,101.73,15029.0,170.83,165.84,1562.0,131.15,125.01
