District,subscribers_fy15,subscribers_fy16,subscribers_fy17,subscribers_fy18,subscribers_fy19
Azamgarh,315.0,27585.0,,,
Baghpat,126.0,10960.0,3255.0,20.23,49630.0
Ballia,226.0,19755.0,25.71,133431.0,
Banda,12425.0,39.07,117103.0,,
Bareilly,32230.0,31.8,,,
Basti,173.0,15130.0,42.89,121677.0,
Bhadohi,110.0,9155.0,31.2,75506.0,
Budaun,171.0,15195.0,32.19,125376.0,
Bulandshahr,236.0,20265.0,31.68,144640.0,
Deoria,229.0,19825.0,4877.0,24.6,124790.0
Farrukhabad,142.0,11735.0,4082.0,34.78,113779.0
Fatehpur,186.0,16490.0,9867.0,59.84,254260.0
Firozabad,148.0,12880.0,3942.0,30.61,108917.0
Gautam Buddha Nagar,499.0,38490.0,6577.0,17.09,180586.0
Ghaziabad,473.0,38530.0,6414.0,16.65,
Ghazipur,275.0,24245.0,7309.0,30.15,176821.0
Gonda,221.0,19505.0,8487.0,43.51,163070.0
Gorakhpur,414.0,35210.0,9754.0,27.7,236723.0
Hamirpur,110.0,9200.0,1175.0,12.77,66125.0
Hapur,111.0,9525.0,1502.0,15.77,38256.0
Hathras,132.0,11620.0,2324.0,20.0,70473.0
Jalaun,132.0,11700.0,3240.0,27.69,90240.0
Jaunpur,330.0,29070.0,10275.0,35.35,244279.0
Kannauj,132.0,10790.0,3533.0,32.74,90229.0
Kanpur Dehat,168.0,14050.0,4913.0,34.97,119912.0
Kanpur Nagar,631.0,51810.0,7668.0,14.8,255436.0
Kasganj,87.0,7280.0,2250.0,30.91,65698.0
Kaushambi,122.0,10765.0,5051.0,46.92,104715.0
Kheri,262.0,22995.0,8586.0,37.34,222299.0
Kushi Nagar,199.0,17265.0,9014.0,52.21,140708.0
Muzaffarnagar,272.0,23720.0,5695.0,24.01,141100.0
Pilibhit,143.0,12595.0,4929.0,,
Pratapgarh,263.0,21355.0,44.59,214461.0,
Rae Bareli,320.0,26290.0,37.37,234232.0,
Rampur,226.0,17890.0,29.34,121414.0,
Saharanpur,279.0,23915.0,7665.0,32.05,173960.0
Sambhal,129.0,11400.0,2896.0,25.4,79713.0
Shamli,79.0,6935.0,2020.0,29.13,47242.0
Shravasti,71.0,6260.0,30.86,38784.0,
Sitapur,289.0,25245.0,32.84,185521.0,
Varanasi,487.0,40845.0,19.58,,
