District,claims_paid_no,claims_rejected_no,claims_under_process_no,claims_pending_no,claims_total_no
Azamgarh,609.0,557.0,48.0,11.14,
Ballia,553.0,519.0,30.0,4.0,10.38
Balrampur,443.0,415.0,15.0,13.0,8.3
Banda,745.0,683.0,53.0,9.0,13.66
Basti,608.0,574.0,34.0,11.48,
Bhadohi,313.0,281.0,31.0,1.0,5.62
Budaun,1093.0,950.0,52.0,91.0,19.0
Chandauli,292.0,275.0,2.0,5.5,
Farrukhabad,1074.0,976.0,,,
Firozabad,761.0,713.0,,,
Gautam Buddha Nagar,765.0,701.0,,,
Ghazipur,684.0,645.0,,,
Gorakhpur,985.0,926.0,,,
Mahoba,486.0,438.0,,,
Mathura,934.0,876.0,,,
Mau,326.0,304.0,,,
Meerut,2208.0,2086.0,,,
Mirzapur,832.0,750.0,,,
Moradabad,2951.0,2601.0,,,
