District,Total Br(s),CROP,TERM LOAN,AGRI INFRA,ANCILLARY,AGRI Total NPA
Aizawl,129,5380,1141,0,25,6546
Champhai,18,138,436,0,2,576
Hnahthial,5,13,25,0,0,38
Khawzawl,8,39,91,0,0,130
Kolasib,25,85,255,0,11,351
Lawngtlai,12,347,674,0,5,1026
Lunglei,23,52,623,0,4,679
Mamit,12,43,136,0,1,180
Saiha,8,178,273,0,0,451
Saitual,10,69,92,0,0,161
Serchhip,18,38,205,0,0,243
