District,Total Br,Export No.,Amt,Education No.,Housing No.,Social Infra. No.,Renewable No.,Others No.,Total Other PS O/S No.
Aizawl,129,0,48146.39,175,3416,258,0,2653,6502
Champhai,18,0,3764.35,2,308,43,1,10,364
Hnahthial,5,0,2004.73,4,147,16,0,3,170
Khawzawl,8,0,1669.55,2,154,22,0,0,178
Kolasib,25,0,6500.89,23,584,27,0,906,1540
Lawngtlai,12,0,13770.56,7,1521,29,0,3,1560
Lunglei,23,0,14623.91,18,1470,59,0,25,1572
Mamit,12,0,3011.86,1,325,8,0,1,335
Saiha,8,0,8387.53,3,993,32,0,18,1046
Saitual,10,0,1420.98,7,130,12,0,2,151
Serchhip,18,0,6787.51,9,681,34,0,8,732
