district,Total Br(s),MICRO,SMALL,MEDIUM,OTHER MSME,MSME Total O/S
Aizawl,129,14700,2912,14,65,17691
Champhai,18,1619,17,4,9,1649
Hnahthial,5,398,2,0,0,400
Khawzawl,8,523,21,2,0,546
Kolasib,25,1837,23,0,20,1880
Lawngtlai,12,1090,30,0,0,1120
Lunglei,23,2853,44,0,21,2918
Mamit,12,942,6,0,0,948
Saiha,8,544,13,0,0,557
Saitual,10,803,10,0,0,813
Serchhip,18,1704,10,0,0,1714
