district,Total Br(s),Sishu,Kishore,Tarun,Total MUDRA Disb.
Aizawl,129,5817,4319,1218,11354
Champhai,18,1235,722,155,2112
Hnahthial,5,65,40,29,134
Khawzawl,8,97,41,28,166
Kolasib,25,1522,1840,139,3501
Lawngtlai,12,110,326,87,523
Lunglei,23,980,462,156,1598
Mamit,12,50,69,41,160
Saiha,8,5,58,27,90
Saitual,10,31,96,64,191
Serchhip,18,85,147,120,352
