district,Total Br(s),PMJJBY,PMSBY,APY,Total Enrol- ment
Aizawl,129,68687,131276,9072,209035
Champhai,18,7630,13815,931,22376
Hnahthial,5,3105,6278,128,9511
Khawzawl,8,4174,6602,120,10896
Kolasib,25,9367,17870,1346,28583
Lawngtlai,12,7287,14501,1014,22802
Lunglei,23,13501,30832,1931,46264
Mamit,12,7744,13073,318,21135
Saiha,8,5150,8054,515,13719
Saitual,10,4421,6940,203,11564
Serchhip,18,8039,12313,618,20970
