district,Total Br(s),Current Year Female Account,Current Year Male Account to SC,Current Year Male Account to ST,Total Current Year SUI Disb
Aizawl,129,103,1,102,206
Champhai,18,4,0,1,5
Hnahthial,5,0,0,0,0
Khawzawl,8,0,0,4,4
Kolasib,25,8,0,6,14
Lawngtlai,12,2,0,2,4
Lunglei,23,2,0,1,3
Mamit,12,1,0,0,1
Saiha,8,3,0,1,4
Saitual,10,0,0,2,2
Serchhip,18,5,0,4,9
