District,Total Branch,Number of Operative CASA,Number of Aadhaar Seeded CASA,Number of Authenticated CASA
Aizawl,129,587745,413868,162680
Champhai,18,93148,64443,14280
Hnahthial,5,27341,20823,3951
Khawzawl,8,37270,29467,3129
Kolasib,25,101271,69083,17755
Lawngtlai,12,127667,90146,21775
Lunglei,23,152105,102467,25548
Mamit,12,82456,62419,7468
Saiha,8,75377,50412,11604
Saitual,10,50611,39309,4607
Serchhip,18,74928,57378,5905
