District,Total Branch,Inactive CSP,Rupay Card Active in PMJDY,First Time Active Rupay Card,Aadhaar Authenticated Sb accounts,Rupay Card Issued in KCC
Aizawl,129,36,46139,5941,145037,2653
Champhai,18,6,9109,624,14887,1528
Hnahthial,5,7,4252,612,4344,10
Khawzawl,8,1,6861,350,5611,42
Kolasib,25,2,13088,2207,19004,84
Lawngtlai,12,20,20370,6281,24280,2699
Lunglei,23,19,23558,3333,26450,1181
Mamit,12,8,16112,296,8285,17
Saiha,8,16,10766,551,12292,2973
Saitual,10,0,8092,330,5110,71
Serchhip,18,2,13065,463,7549,70
