district,Total Br(s),Current Year Self-Help Group No.,Amt.,NRLM O/S No.,Amt.,NRLM Irregular No.,Amt.,NRLM NPA No.,Amt.,%
Aizawl,129,285,6.07,462,6.07,36,6.07,6,6.07,0.9
Champhai,18,195,37.56,474,37.56,70,37.56,19,37.56,2.27
Hnahthial,5,17,0,42,0,8,0,0,0,0
Khawzawl,8,85,17.39,192,17.39,14,17.39,11,17.39,4.49
Kolasib,25,137,73.08,327,73.08,20,73.08,36,73.08,8.23
Lawngtlai,12,171,12.49,225,12.49,29,12.49,13,12.49,3.06
Lunglei,23,94,2.51,167,2.51,24,2.51,3,2.51,1.2
Mamit,12,192,15.17,417,15.17,40,15.17,8,15.17,1.51
Saiha,8,184,49.72,236,49.72,26,49.72,28,49.72,9.86
Saitual,10,76,6.54,251,6.54,7,6.54,4,6.54,1.03
Serchhip,18,156,43.12,407,43.12,67,43.12,21,43.12,3.94
