district,Total Br(s),SANCTION No.,Amt.,DISBURSED No.,Amt.,O/S No.,Amt.,NPA No.,Amt.,%
Aizawl,129,225,377.46,246,377.46,930,377.46,192,377.46,9.16
Champhai,18,61,28.34,70,28.34,153,28.34,17,28.34,5.06
Hnahthial,5,7,2.09,17,2.09,52,2.09,1,2.09,1.17
Khawzawl,8,25,1.45,33,1.45,83,1.45,1,1.45,0.38
Kolasib,25,32,100.45,42,100.45,192,100.45,37,100.45,11.1
Lawngtlai,12,14,74.49,33,74.49,145,74.49,37,74.49,26.78
Lunglei,23,88,70.58,204,70.58,490,70.58,32,70.58,4.76
Mamit,12,9,68.5,14,68.5,168,68.5,33,68.5,14.67
Saiha,8,14,62.36,27,62.36,74,62.36,32,62.36,28.69
Saitual,10,25,19.86,35,19.86,126,19.86,8,19.86,3.59
Serchhip,18,55,31.88,71,31.88,255,31.88,14,31.88,4.03
