District,No. of A/C,Total O/S,Demand Raised,Recovery Amt,%,Overdues Amt,Overdues %,Gross NPA Amt,Gross NPA %
Baksa,52574,35757.21,11146.62,5195.86,47,5950.76,53,8867.51,25
Barpeta,219657,164647.82,35671.01,13492.72,38,22178.29,62,20939.53,13
Biswanath,57008,45346.46,11395.33,5572.09,49,5823.24,51,6389.65,14
Bongaigaon,82006,79589.24,8751.64,4022.16,46,4729.48,54,6397.97,8
Cachar,227402,217884.55,23946.91,12578.29,53,11368.62,47,15416.01,7
Charaideo,39933,26579.92,4877.46,2468.73,51,2408.73,49,3001.1,11
Chirang,39474,31643.1,6711.95,2789.09,42,3922.86,58,4608.1,15
Darrang,114703,83391.04,17948.11,8860.96,49,9087.15,51,12490.66,15
Dhemaji,77400,56733.77,12857.3,5764.91,45,7092.39,55,6520.76,11
Dhubri,177916,121265.68,17616.33,7612.95,43,10003.38,57,11646.16,10
Dibrugarh,252097,272732.41,35888.97,13091.52,36,22797.45,64,21782.64,8
Dima Hasao,5958,8958.12,1848.3,1294.31,70,553.99,30,497.97,6
Goalpara,85886,57141.77,13852.4,5878.69,42,7973.71,58,11129.32,19
Golaghat,220633,156556.5,27927.22,11586.18,41,16341.04,59,11000.54,7
Hailakandi,47888,40263.3,6711.43,3266.56,49,3444.87,51,4475.78,11
Hojai,52721,54152.53,9620.73,4559.31,47,5061.42,53,5198.21,10
Jorhat,239615,227521.68,26679.14,12329.74,46,14349.4,54,13922.68,6
Kamrup Metro,372968,236904.81,43336.48,16048.06,37,27288.42,63,19661.52,8
Karbi Anglong,51847,37490.46,14357.45,8840.04,62,5517.41,38,2310.74,6
Karimganj,119538,82949.77,10320.9,5570.57,54,4750.33,46,7390.01,9
Kokrajhar,33601,35722.09,10570.18,5204,49,5366.18,51,7754.32,22
Lakhimpur,180232,126663.42,23613.53,9831.73,42,13781.8,58,11145.21,9
Majuli,12600,10690.12,2053.25,1097.15,53,956.1,47,1258.93,12
Morigaon,150020,97122.16,15287.8,5498.04,36,9789.76,64,10120.77,10
Nagaon,325320,239886.47,41912.16,12143.72,29,29768.44,71,28606.84,12
Nalbari,132189,87428.96,24370.09,9987.52,41,14382.57,59,13595.38,16
Sivasagar,171536,145469.33,18525.59,8178.5,44,10347.09,56,10606.72,7
Sonitpur,254650,202206.63,23237.04,13066.71,56,10170.33,44,18049.2,9
South Salmara,3317,4845.08,1600.12,612.53,38,987.59,62,1517.47,31
Tinsukia,171883,212840.74,24130.84,11426.78,47,12704.06,53,13771.48,6
Udalguri,69975,61433.49,20537.8,6613.97,32,13923.83,68,11784.73,19
West Karbi Anglong,15055,11216.21,6249.04,2731.57,44,3517.47,56,630.07,6
