District,No. of A/C,Total O/S,Demand Raised,Recovery Amt,%,Overdues Amt,Overdues %,Gross NPA Amt,Gross NPA %
Baksa,31593,19485.59,5875.05,2933.89,50,2941.16,50,3981.86,20
Barpeta,128321,70385.03,20774.87,7135.16,34,13639.71,66,10418.98,15
Biswanath,34537,19419.72,7051.36,2980.08,42,4071.28,58,3627.26,19
Bongaigaon,35356,22509.15,3678.3,1433.7,39,2244.6,61,2682.12,12
Cachar,108721,69075.78,10109.76,4013.68,40,6096.08,60,5891.31,9
Charaideo,24364,13097.54,2652.93,1278.32,48,1374.61,52,1249.28,10
Chirang,21542,12059.34,3481.14,1517.52,44,1963.62,56,2051.77,17
Darrang,65648,37852.96,10719.94,4272.18,40,6447.76,60,6433.71,17
Dhemaji,42407,21898.46,7612.84,2806.54,37,4806.3,63,3512.79,16
Dhubri,96803,59997.94,9707.74,4388.31,45,5319.43,55,5428.78,9
Dibrugarh,148454,90287.3,18101.71,4432.01,24,13669.7,76,8535.57,9
Dima Hasao,3908,2385.02,521.27,284.19,55,237.08,45,202.89,9
Goalpara,45141,25765.41,7068.17,3318.68,47,3749.49,53,5263.64,20
Golaghat,153699,79680.51,18964.57,6089.25,32,12875.32,68,5181.09,7
Hailakandi,28260,15699.47,3597.31,1487.85,41,2109.46,59,2510.76,16
Hojai,32638,23161.52,5974.43,2643.29,44,3331.14,56,2436.84,11
Jorhat,148767,82986.51,14383.2,5296.18,37,9087.02,63,5585.93,7
Kamrup Metro,152716,92854.31,25317.08,5783.24,23,19533.84,77,8735.47,9
Karbi Anglong,41543,16310.89,6443.01,2558.61,40,3884.4,60,1577.26,10
Karimganj,56289,28865.19,4158.56,1944.07,47,2214.49,53,3112.01,11
Kokrajhar,23014,14572.69,4893.59,3009.58,62,1884.01,38,3353.18,23
Lakhimpur,107945,56969.17,14693.46,5416.97,37,9276.49,63,5100.21,9
Majuli,7254,4560,1246.01,638.88,51,607.13,49,516.16,11
Morigaon,107356,59847.51,9382.02,3146.55,34,6235.47,66,4874.89,8
Nagaon,208278,106829.59,27686.09,4978.03,18,22708.06,82,12493.81,12
Nalbari,69245,32047.38,11529.89,4383.74,38,7146.15,62,4979.26,16
Sivasagar,105162,51500.31,8991.79,2569.53,29,6422.26,71,4235.72,8
Sonitpur,139234,76506.18,11885.31,6991.71,59,4893.6,41,8297.69,11
South Salmara,1781,1566.31,528.31,250.62,47,277.69,53,468.95,30
Tinsukia,96263,73051.56,12920.72,6258.54,48,6662.18,52,4726,6
Udalguri,48783,34138.77,14928.12,3919.17,26,11008.95,74,7224.97,21
West Karbi Anglong,13963,6152.12,3999.64,919.32,23,3080.32,77,500.84,8
