district,Lending Number of Muslim,Lending Amount of Muslim,Outstanding Number of Muslim,Outstanding Amount of Muslim,Lending Number of Christian,Lending Amount of Chriatian,Outstanding Number of Christian,Outstanding Amount of Christian,Lending Number of Sikh,Lending Amount of Sikh,Outstanding Number of Sikh,Outstanding Amount of Sikh,Lending Number of Budhist,Lending Amount of Budhist,Outstanding Number of Budhist,Outstanding Amount of Budhist,Lending Number of Zoroastrian,Lending Amount of Zoroastrian,Outstanding Number of Zoroastrian,Outstanding Amount of Zoroastrian,Lending Number of Jain,Lending Amount of Jain,Outstanding Number of Jain,Outstanding Amount of Jain,Total Lending No,Total Lending Amt,Total Outstanding No,Total Outstanding Amt
Baksa,350,446.24,16933,8140.18,15,28.52,622,300.31,2,0.65,51,45.76,0,0,10,9.01,0,0,0,0,0,0,34,29.64,367,475.41,17650,8524.9
Barpeta,11337,9906.31,158186,354586.65,79,670.73,506,5151.7,4,10.04,87,101.11,6,3.4,57,25.09,2,1.7,22,49.31,4,6.92,43,199.56,11432,10599.1,158901,360113.42
Biswanath,292,208.68,10456,6670.15,439,1340.19,4213,6507.83,4,13.1,31,65.92,0,0,0,0,0,0,16,24.86,1,0.3,9,68.85,736,1562.27,14725,13337.61
Bongaigaon,3271,3163.84,41655,337370.96,1737,2869.59,3796,9552.19,6,11.07,104,139.02,66,53.85,140,93.96,2,6.04,9,25.03,7,62.16,35,1162.33,5089,6166.55,45739,348343.49
Cachar,8580,9757.83,137503,87308.08,1582,1995.39,4448,4050.25,14,120.5,87,231.46,13,16.01,61,64,2,1.04,15,27.89,17,226.12,61,580.83,10208,12116.89,142175,92262.51
Charaideo,238,259.82,5449,4560.41,187,208.86,448,488.59,5,17.88,33,66.64,14,60.83,93,158.49,0,0,12,34.65,1,0.3,11,27.47,445,547.69,6046,5336.25
Chirang,952,949.68,24138,22052.59,163,172.87,4726,2899.24,13,67.27,47,129.28,4,16.32,15,25.66,0,0,11,15.1,0,0,3,7,1132,1206.14,28940,25128.87
Darrang,5568,4605.81,85300,53844.81,183,562.51,885,1549.69,3,12.29,122,131.22,17,16.05,54,51.66,6,11.88,13,32.52,20,66.14,44,167.35,5797,5274.68,86418,55777.25
Dhemaji,134,102.32,4653,4095.12,81,97.35,685,595.93,7,10.93,202,976.69,1,0,202,367.04,0,0,15,43.95,4,31,1046,3067.96,227,241.6,6803,9146.69
Dhubri,11073,10976.79,131710,76122.84,667,479.71,2318,1787.07,8,36.51,36,81.36,22,17.74,46,33.06,6,12.98,26,63.94,12,22.28,46,167.58,11788,11546.01,134182,78255.85
