District,Target,Disbursement No.,Disbursement Amt,O/S No.,O/S Amt
Baksa,760,27,75.13,524,446.39
Barpeta,1267,45,52.63,1592,1301.99
Biswanath,2563,91,110.13,1693,1175.15
Bongaigaon,1859,66,130.24,912,742.21
Cachar,1127,40,57.5,719,550.68
Charaideo,2169,77,48.21,753,419.19
Chirang,2620,93,118,919,693.32
Darrang,676,24,46.44,884,699.34
Dhemaji,2704,95,90.1,1527,741.61
Dhubri,1380,49,62.35,493,342.34
Dibrugarh,3127,111,117.68,1238,680.95
Dima Hasao,5,1,15.85,101,89.42
Goalpara,704,25,39.6,847,618.5
Golaghat,3916,139,186.15,1332,1046.73
Hailakandi,788,28,51.85,743,523.4
Hojai,1042,37,39.2,758,610.99
Jorhat,3155,112,154.03,1472,1278.47
Kamrup Metro,4395,156,238.27,1719,1466.13
Karbi Anglong,5,0,0,56,42.1
Karimganj,1070,38,64,531,372.6
Kokrajhar,253,9,8.5,426,245.6
Lakhimpur,3690,131,149.68,1989,1130.89
Majuli,366,13,16.05,327,203.12
Morigaon,2958,105,153.1,1618,1299.7
Nagaon,7522,267,415.42,2584,2140.07
Nalbari,3381,120,243.61,1960,1892.25
Sivasagar,2535,90,107.26,891,622.46
Sonitpur,2028,72,118.25,1883,1367.22
South Salmara,28,1,1.2,20,18.39
Tinsukia,2930,104,165,1848,1108.52
Udalguri,704,25,48.69,740,647.22
West Karbi Anglong,6,0,0,9,4.79
