District,Target,Disbursement No.,Disbursement Amt,O/S No.,O/S Amt
Baksa,356,53,41.91,961,1403.18
Barpeta,141,21,29.54,1168,1711.8
Biswanath,10,1,2,215,357.66
Bongaigaon,60,9,6.95,956,1201.32
Cachar,80,12,11.58,1091,1470.16
Charaideo,67,10,12.28,190,335.28
Chirang,20,3,3.83,1273,1585.95
Darrang,107,16,14.77,970,1441.54
Dhemaji,174,26,47.71,917,1625.22
Dhubri,376,56,37.43,1375,1399.29
Dibrugarh,168,25,33.83,1219,1762.79
Dima Hasao,40,6,6.27,210,271.56
Goalpara,154,23,23.64,847,1110.81
Golaghat,80,12,10.42,1171,1697.88
Hailakandi,67,10,3.96,682,903.4
Hojai,80,12,22.63,608,643.16
Jorhat,47,7,15.36,842,1164.76
Kamrup Metro,262,39,37.57,1590,2154.77
Karbi Anglong,20,3,1.47,311,303.63
Karimganj,94,14,14.77,373,561.03
Kokrajhar,80,12,10.11,1528,1901.12
Lakhimpur,67,10,14,952,1322.6
Majuli,60,9,20.61,95,163.9
Morigaon,174,26,36.81,830,1281.8
Nagaon,134,20,36.06,2440,2513.34
Nalbari,240,36,40.94,1180,1927.48
Sivasagar,208,31,47.43,752,1347.1
Sonitpur,275,41,58.24,1268,1817.38
South Salmara,168,25,0.83,239,364.14
Tinsukia,107,16,17.34,779,1146
Udalguri,134,20,2.39,975,1333.81
West Karbi Anglong,10,0,0,60,59.64
