district,Urban Number,Urban Amount,Semi Urban Number,Semi Urban Amount,Rural Number,Rural Amount,Total Number,Total Amount
Baksa,0,0,46,179.18,940,6175.93,986,6355.11
Barpeta,16,44.51,1979,19296.23,1441,12425.68,3436,31766.42
Biswanath,21,15.19,891,8809.31,454,3596.34,1366,12420.84
Bongaigaon,0,0,1869,17444.26,260,2184.32,2129,19628.58
Cachar,2678,20874.32,274,3168.77,599,5263.39,3551,29306.48
Charaideo,0,0,217,1568.27,118,1030.59,335,2598.86
Chirang,0,0,84,770.83,461,4700.91,545,5471.74
Darrang,34,92.6,1145,9911.56,341,2249.15,1520,12253.31
Dhemaji,18,9.01,1026,9231.54,547,4637.72,1591,13878.27
Dhubri,4,0.46,1504,10761.92,547,4198.19,2055,14960.57
Dibrugarh,3181,33134.07,1010,10472.01,1333,12551.28,5524,56157.36
Dima Hasao,0,0,129,1407.89,143,1703.04,272,3110.93
Goalpara,0,0,618,5466.86,392,2720.45,1010,8187.31
Golaghat,2,10.94,1750,16062.46,773,6609.34,2525,22682.74
Hailakandi,0,0,1145,8585.65,70,468.71,1215,9054.36
Hojai,12,18.28,788,7686.98,118,958.25,918,8663.51
Jorhat,760,6664.77,3181,29852.84,919,7884.93,4860,44402.54
Kamrup,384,1080.51,1242,8997.63,3207,20566.18,4833,30644.32
Kamrup Metro,24523,316886.83,1018,13249.84,346,3565.89,25887,333702.56
Karbi Anglong,0,0,413,4777.44,697,8735.49,1110,13512.93
Karimganj,8,5,891,6384.09,306,2198.71,1205,8587.8
Kokrajhar,0,0,840,6685.04,329,3241.25,1169,9926.29
Lakhimpur,25,19.21,1854,14897.04,1029,8620.63,2908,23536.88
Majuli,0,0,170,1432.87,96,798.23,266,2231.1
Morigaon,13,18.52,1127,5289.37,504,3838.55,1644,9146.44
Nagaon,2040,18625.73,857,8192.96,1450,12329.4,4347,39148.09
Nalbari,0,0,1906,14373.6,1320,6982.4,3226,21356
Sivasagar,35,68.05,2334,20278.61,662,5754.1,3031,26100.76
Sonitpur,88,306,2771,25021.43,1183,8531.82,4042,33859.25
South Salmara,0,0,51,662.61,107,877.04,158,1539.65
Tinsukia,1916,20548.04,664,6629.28,737,7382.97,3317,34560.29
Udalguri,17,22.71,1159,11336.4,236,1863.02,1412,13222.13
West Karbi Anglong,0,0,0,0,374,4226.33,374,4226.33
