district,CropProduction,WaterResources,Farm,Plantation,Animal Husbandry,Fishery,Agri Others,Agri Infrastructure,Anciliary Activities,Agri Total,MSME Term,MSME Working,MSME Total,Export Credit,Education,Housing,Service Others,Social Infra,Services Total,Total Achievement
Baksa,408.92,0,44.95,3.33,134.92,13.02,58.21,0,1022.61,1685.96,596.25,684.37,1280.62,0,1.83,76.22,0,0,78.05,3044.63
Barpeta,1008.74,239.76,210.06,16.58,2511.59,685.33,3401.32,28.4,255.19,8356.97,6806.97,718.15,7525.12,0,46.69,512.99,338.91,0,898.59,16780.68
Biswanath,600.29,0,2.33,10,171.35,16.62,0,2.64,71.66,874.89,512.69,314.48,827.17,0,24.94,113.88,13.5,0,152.32,1854.3799999999999
Bongaigaon,378.89,103.7,62.78,0,397.01,52.52,880.26,5,161.14,2041.3,5190.05,1169.77,6359.82,0,9.58,281.59,322.04,0,613.21,9014.329999999998
Cachar,835.59,151.1,307.04,12.53,1617.52,895.73,3558.13,5.85,831.33,8214.82,14096.21,1241.83,15338.04,0,99.05,364.25,89.19,0,552.49,24105.350000000002
Charaideo,473.22,202.35,372.45,0,329.32,5.84,928.3,0,110.21,2421.69,813.41,165.77,979.18,0,24.81,32.61,150.65,0,208.07,3608.94
Chirang,387.82,426.75,83.74,0,57.7,10.79,118.5,0,131.85,1217.15,1384.18,125.96,1510.14,0,15.31,24.7,7.28,0,47.29,2774.58
Darrang,416,75.75,114.77,3.7,1032.24,86.23,1102.97,0,183.29,3014.95,3573.02,642.41,4215.43,0,72.76,129.83,155.98,0,358.57,7588.95
Dhemaji,629.71,17.8,13.55,3.94,609.39,41.17,264.22,7,154.99,1741.77,1962.36,631.96,2594.32,0,41.95,113.33,56.23,0,211.51,4547.6
Dhubri,713.28,1653.54,540.9,10.25,1358.4,91.3,4710.89,5.57,206.11,9290.24,5588.29,551.12,6139.41,0,45.38,100.54,142.99,0,288.91,15718.56
Dibrugarh,1023.11,355.27,587.17,100.07,1415.42,85.46,3346.48,36.79,2693.68,9643.45,9735.5,6134.68,15870.18,0,140.02,833.82,548,1.27,1523.11,27036.74
Dima Hasao,86.55,0,20.8,0,8.77,0,0,0,5.19,121.31,65.19,123.75,188.94,0,6.02,38.61,1.79,0,46.42,356.67
Goalpara,543.55,3.1,19.55,24.63,504.27,57.02,729.16,1.66,194.44,2077.38,2316.48,479.67,2796.15,0,7.08,66.44,31.91,0,105.43,4978.960000000001
Golaghat,1502.8,822.37,728.95,126.01,1400.86,144.77,4721.67,32.98,350.53,9830.94,5149.36,1127.36,6276.72,0,31.63,203.7,210,1.02,446.35,16554.01
Hailakandi,170.03,13.5,37.71,7.46,157.65,11.2,780.86,0,149.77,1328.18,1301.64,277.7,1579.34,0,13.57,40.85,43.36,0,97.78,3005.3
Hojai,594.99,0,5.54,0,99.41,12.73,1.26,0.01,361.16,1075.1,889.9,626.65,1516.55,0,14.53,93.37,2.82,0,110.72,2702.3699999999994
Jorhat,1101.29,972.5,596.1,65.98,3508.7,132.04,3967.71,222.32,2229.81,12796.45,10087.71,4142.34,14230.05,0,223.43,725.94,422.8,0,1372.17,28398.67
Kamrup,1586.24,29.3,115.61,12.45,2836.94,634.77,2586.83,7,362.73,8171.87,15218.78,1645.51,16864.29,0,89.33,591.06,289.71,0,970.1,26006.26
Kamrup Metro,1076.38,15.16,42.72,19.01,344.01,36.46,747.72,303.21,4659.5,7244.17,79976.02,28648.7,108624.72,1.07,1300.64,6393.48,5200.27,792.74,13688.2,129557.09
Karbi Anglong,899.64,0,131.82,6.89,180.17,7.63,85.59,1.64,41.61,1354.99,513.57,348.8,862.37,0,7.85,81.8,92.85,0,182.5,2399.86
Karimganj,668.73,114.8,602.41,2.68,477.7,122.98,2017.19,0,390.1,4396.59,5127.8,2035.91,7163.71,0,28.07,84.22,157.39,0,269.68,11829.98
Kokrajhar,942.06,0,8.66,2.64,21.42,6.21,0.38,2.64,54.99,1039,119.64,226.75,346.39,0,4.46,151.35,3.25,0,159.06,1544.4499999999998
Lakhimpur,1150.08,63.35,98.72,3.02,2782.24,230.64,1424.73,6,179.75,5938.53,3487.28,1260.58,4747.86,0,34.36,323.66,186.12,0,544.14,11230.529999999999
Majuli,112.35,0,2.54,0,49.01,7.02,0,0,14.77,185.69,131.21,50.23,181.44,0,4.64,170.1,79.34,0,254.08,621.21
