District,Current Year Number of Cards issued,Current Year Limit Sanctioned,O/S Position Number of Cards issued,O/S Position Limit Sanctioned
Baksa,434,186.9,18510,8285.85
Barpeta,2632,991.11,60168,26449.16
Biswanath,431,251.05,18060,9917.41
Bongaigaon,340,143.38,16800,7539.07
Cachar,919,628.38,52857,28451.31
Charaideo,230,163,9397,5056.49
Chirang,352,192.42,12305,5984.8
Darrang,1765,588.29,34695,15742.67
Dhemaji,636,413.98,24774,13231.14
Dhubri,922,484.52,35432,18198.29
Dibrugarh,3179,1234.3,71158,34606.73
Dima Hasao,57,19.45,1965,637.75
Goalpara,422,278.23,24381,9994.27
Golaghat,3570,1733.08,69822,30678.34
Hailakandi,240,107.73,18191,8430.81
Hojai,479,349.75,22516,13240.75
Jorhat,2347,940.1,48800,21418.26
Kamrup Metro,2472,1126.48,73580,33361.52
Karbi Anglong,1697,886.61,29780,11203.94
Karimganj,935,536.34,28378,12779.84
Kokrajhar,1953,1378.41,22788,9830.97
Lakhimpur,2734,1365.36,62070,30298.53
Majuli,32,8.81,3419,1423.3
Morigaon,868,430.36,40555,19605.16
Nagaon,3794,1515.15,88499,40300.99
Nalbari,2191,634.11,34288,12656.23
Sivasagar,1804,655.74,40316,16071.42
Sonitpur,1606,1141.35,37530,18221.14
South Salmara,0,0,909,338.6
Tinsukia,3774,1566.39,54346,30237.31
Udalguri,211,129.66,28760,16782.91
West Karbi Anglong,478,172.57,11828,4636.65
