district,shgs_credit_linkage_target_fy_2025_26_total_no_shgs_for_credit_linkage,total_disbursement_amt_rs_in_lakh,total_outstanding_amt_rs_in_lakh,achievements_as_on_30062025_total_shgs_repeat_renewals_enhancement_fy_2024_25,total_disbursement_amt_rs_in_lakh,total_outstanding_amt_rs_in_lakh
Bokaro,10882,27300,37010,5083,7348,31105
Chatra,8171,18850,25550,4459,4039,26149
Deoghar,7270,10830,14710,2272,2011,18361
Dhanbad,8320,14910,20220,2405,2796,22311
Dumka,9013,16590,22510,3043,2751,24484
Garhwa,8924,21260,28830,2971,1786,21577
Giridih,14000,31950,43340,5772,7148,41083
Godda,7251,16790,22760,3569,3020,23284
Gumla,6900,16380,22220,1780,1927,18043
Hazaribagh,12482,32320,43810,6289,7275,40485
Jamtara,4586,7580,10280,1510,1239,11050
Khunti,4180,11850,16060,1750,3372,12310
Koderma,5533,15180,20590,3034,3928,20521
Latehar,5918,15150,20520,2611,2130,19326
Lohardaga,3902,9520,12910,1339,2454,11192
Pakur,6732,18150,24620,2869,1900,23219
Palamu,13069,31180,42260,5573,4145,35075
Ramgarh,6209,17180,23310,3169,4211,18562
Ranchi,16264,56210,76210,5479,5454,48113
Sahibganj,6809,14970,20300,2251,2195,18472
Simdega,4586,11020,14960,1676,1783,13310
West Singhbhum,10300,34360,46600,2534,1924,33014
