district,branches_as_on_30062025_rural,semi_urban,urban,total,atms_as_on_30062025_rural,semi_urban,urban,total,as_on_31032025_branch,atms,difference_branch,atms
Bokaro,77,57,92,226,29,54,144,227,223,235,3,-8
Chatra,46,23,0,69,13,22,0,35,69,35,0,0
Deoghar,72,25,49,146,13,17,92,122,145,125,1,-3
Dhanbad,76,61,182,319,34,56,295,385,316,393,3,-8
Dumka,86,38,2,126,20,57,3,80,124,79,2,1
East Singhbhum,82,74,198,354,25,81,388,494,352,513,2,-19
Garhwa,69,33,0,102,13,40,1,54,101,61,1,-7
Giridih,137,9,39,185,46,25,64,135,183,135,2,0
Godda,73,30,0,103,20,44,1,65,103,69,0,-4
Gumla,52,31,3,86,6,33,3,42,87,46,-1,-4
Hazaribagh,96,32,56,184,38,42,111,191,182,195,2,-4
Jamtara,40,29,0,69,8,34,2,44,69,44,0,0
Khunti,31,22,0,53,11,18,10,39,52,40,1,-1
Koderma,33,34,0,67,9,45,0,54,67,55,0,-1
Latehar,27,29,0,56,10,31,0,41,56,42,0,-1
Lohardaga,24,22,0,46,4,27,1,32,46,31,0,1
Pakur,38,23,1,62,11,29,0,40,62,40,0,0
Palamu,85,58,0,143,14,89,1,104,141,110,2,-6
Ramgarh,47,70,1,118,29,90,6,125,118,126,0,-1
Ranchi,159,49,319,527,78,50,556,684,523,719,4,-35
Sahibganj,41,36,0,77,12,29,3,44,77,46,0,-2
Seraikela-Kharsawan,83,19,27,129,26,18,35,79,128,81,1,-2
Simdega,31,22,0,53,4,15,4,23,53,23,0,0
West Singhbhum,73,63,0,136,24,67,12,103,137,105,-1,-2
