district,doubling_of_farmers_income_by_june_25_short_term_credit_crop_loan_amount_disburs,total_no_of_sf_mf_tenant_farmers_financed_no_of_accounts_p,total_amount_of_sf_mf_tenant_farmers_financed_amt_in_rs_lacs_q,total_no_of_allied_activities_accounts_no_of_accounts_r,total_amount_of_allied_activities_accounts_amount_in_rs_lacs_s,term_loan_total_no_of_sf_mf_tenant_farmers_financed_no_of_accounts_t,total_amount_of_sf_mf_tenant_farmers_financed_amount_in_rs_lacs_u,total_no_of_allied_activities_accounts_no_of_accounts_v,total_amount_of_allied_activities_accounts_amount_in_rs_lacs_w,extent_of_coverage_un_out_of_g_total_no_of_crop_loan_accounts_covered_under_insu,growth_parameters_over_the_previous_period_sdheor_rct_rtoepr_min_scureradnitc_e,growth_in_amount_of_short_term_credit_working_capital_for_allied_activities_to_f,growth_in_agriculture_term_loan_disbursed_capital_formation_growth_in_no_of_acco,growth_in_amount_of_term_loan_for_agriculture_and_allied_activities_farm_credit
Bokaro,0.55,85934,40500,12963,17181,85934,40500,12963,17181,0,200,200,150,200
Chatra,0.1621,60213,21684.35,6391,5281.21,5431,4671.29,4998,4051.24,98342,37654,3456,6449,5526
Deoghar,0.72,89296,52107.01,15966,16660.38,60849,63625.91,753,13213.86,33390,139,3073,-534,2601
Dhanbad,,,,,,,,,,,,,,
Dumka,0.69,56368,30472.08,14545,10331.05,1532,2099.72,1882,2600.36,0,21,14,21,24
Garhwa,0.51,16618,19578.84,5966,9702.25,32657,17823.27,998,731.22,0,6703,7808,27287,13991
Giridih,0.37425,84741,48058.23,41292,26807.99,65315,46785.1,24023,19977.11,0,84741,48058,24023,19977
Godda,0.42,86150,50710,30500,17030,22550,13760,1350,495,0,410,270,220,2190
Gumla,0.66,20587,13735.7,2905,5588.55,1194,796.64,310,596.36,17893,185,122,60,115
Hazaribagh,17157,17444,11888,8901,20329,13082,21868,21795,8827,137373,26586,2022,2546,5166
Jamtara,0.7,14400,70.82,6646,10587,7077,624,5881,624,23847,807,611,23,21
Khunti,8239,9951,4506,1355,887,1295,1249,1083,1071,0,191,138,175,149
Koderma,0.35,0,0,0,0,68032,10301.56,18625,11045.12,127063,0,0,35,9
Latehar,0,31351,21276,,,605,4857,1712,21276,,,,4780,3643
Lohardaga,0.93,9163,5509,7932,6357,6481,5261,7843,6284,0,249,847,1321,1807
Pakur,1.0201,5165,4610,1230,2150,4321,3824,718,1320,26909,9143,7542,11041,11187
Palamu,0.69,26438,23549.98,,,19652,26087.93,19009,23824.33,,-2745,210,-3792,878
Ramgarh,6879.41,,,,,,,,,,,,,
Ranchi,9846.2,65965,9214,1126,832.6,36405,59927.5,18265,59626.3,11214,9482,3251,0,0
Sahibganj,2.49,5588,6120,16922,15722.92,35942,6120,16922,15722.92,28430,6805,9579,10690,12589
Simdega,217.5,33290,13381.29,8559,3274.15,10930,4605.3,10544,4653,0,0,0,,
