district,as_on_30th_june_2025_farm_credit_no,amt,out_of_farm_credit_total_crop_loans_no,amt,out_of_farm_credit_total_investment_credit_no,amt,out_of_farm_credit_total_allied_activities_no,amt,agri_infrastructure_no,amt,ancillary_activities_no,amt,total_agri_no,amt,pct_of_agri_adv_to_total_advance
Bokaro,81231,59792.68,52983,34300.88,28248,25491.79,18305,13473.99,41,150.63,8779,29699.59,90051,89642.90,9.65
Chatra,71445,45219.30,54367,30779.27,17078,14440.03,12627,11492.32,3,1.73,6376,19199.61,77824,64420.64,38.68
Deoghar,114104,78138.12,89852,55255.03,24252,22883.09,14251,15552.38,76,566.73,2142,17608.48,116322,96313.33,20.37
Dhanbad,248012,99184.84,44291,29536.35,203721,69648.49,89795,32785.99,84,1745.41,7135,32713.01,255231,133643.26,7.81
Dumka,91691,57353.38,67615,33718.07,24076,23635.30,17267,19261.67,21,88.84,2968,11850.17,94680,69292.38,28.24
East Singhbhum,117999,86134.85,82828,48522.70,35171,37612.15,21345,20929.82,43,419.02,9757,42955.07,127799,129508.94,5.31
Garhwa,97474,80606.33,58613,52718.61,38861,27887.72,21237,20968.95,199,83.30,1182,3794.73,98855,84484.37,45.24
Giridih,149440,92343.80,85156,50007.89,64284,42335.91,39933,26847.22,65,535.47,8846,34192.09,158351,127071.36,24.10
Godda,88932,62933.54,63453,42477.41,25479,20456.13,20050,16501.63,49,104.00,3677,12656.80,92658,75694.35,33.69
Gumla,61224,41289.68,52705,28825.06,8519,12464.62,4472,9142.62,4,12.65,4172,13218.02,65400,54520.35,36.93
Hazaribagh,122750,91109.94,76655,52238.82,46095,38871.12,29186,26113.38,27,105.72,8140,43039.49,130917,134255.15,19.14
Jamtara,55410,38031.44,50894,31786.34,4516,6245.10,3790,5310.57,12,17.05,2615,6268.56,58037,44317.05,41.28
Khunti,37303,22832.59,27823,15933.02,9480,6899.57,7689,5116.28,5,40.49,2424,7067.34,39732,29940.42,27.08
Koderma,50781,30758.26,29119,17472.25,21662,13286.02,7001,5810.26,4,11.02,5218,18282.53,56003,49051.82,21.87
Latehar,39196,37606.48,31541,25056.32,7655,12550.16,5185,10155.74,2,2.04,2044,7518.22,41242,45126.74,34.70
Lohardaga,38928,27157.65,33275,20658.64,5653,6499.00,3109,4288.33,9,75.51,3099,10732.20,42036,37965.36,34.59
Pakur,46100,33990.84,31259,19939.12,14841,14051.73,13526,12915.77,14,150.66,5272,15895.16,51386,50036.67,34.64
Palamu,143406,111129.82,82548,68724.11,60858,42405.71,39376,32658.51,27,82.84,3537,13339.89,146970,124552.56,34.09
Ramgarh,47882,30860.32,26675,17752.51,21207,13107.81,16377,7193.76,18,65.62,4375,15546.78,52275,46472.72,10.75
Ranchi,968769,435318.47,113257,72812.08,855512,362506.38,576878,261827.07,127,4614.27,8786,141663.05,977682,581595.79,12.33
Sahibganj,63601,49598.70,43105,30612.96,20496,18985.74,16124,15932.01,4,40.47,3256,7911.60,66861,57550.77,34.95
Seraikela-Kharsawan,150981,73648.73,57646,35742.69,93335,37906.03,50540,21361.55,20,27.84,4283,18112.37,155284,91788.94,18.25
Simdega,29043,20909.45,22346,11092.28,6697,9817.17,3834,7353.95,20,14.04,2742,6640.56,31805,27564.05,37.65
West Singhbhum,85314,69935.91,71546,49636.13,13768,20299.77,8071,15026.83,82,27.90,3798,10659.00,89194,80622.80,15.17
