district,social_infrastructure_target_no,amt,achv_no,amt,achv_pct_amt,renewable_energy_target_no,amt,achv_no,amt,achv_pct_amt,others_target_no,amt,achv_no,amt,total_priority_sector_target_no,amt,achv_no,amt,achv_pct_amt
Bokaro,22,38,,,0.00,56,96,12,18.42,19.24,14287,9435,1953.00,1251,189574,431471,25803.00,197648,45.81
Chatra,,,,,,,,2,2.65,,2616,1670,208.00,151,124391,119085,14029.00,24960,20.96
Deoghar,15,103,1.00,0,0.03,57,110,25,46.73,42.58,15833,8810,2506.00,1566,238330,325128,24310.00,106755,32.83
Dhanbad,36,117,,,0.00,16,20,2,3.00,14.65,33624,20734,7372.00,4683,253308,703887,46994.00,323307,45.93
Dumka,15,11,,,0.00,,,3,8.39,,16456,9390,1261.00,691,162315,179756,19005.00,41478,23.07
East Singhbhum,22,4,2.00,4,94.42,40,86,14,25.77,30.01,32848,20566,4636.00,3075,316563,1079491,34608.00,541485,50.16
Garhwa,37,487,1.00,6,1.23,4,4,6,7.18,181.35,9131,5712,700.00,369,184968,156588,12618.00,24596,15.71
Giridih,118,71,6.00,3,4.49,8,15,,,0.00,20438,13101,1945.00,1251,255693,337928,29022.00,113267,33.52
Godda,,,,,,8,13,2,5.57,42.51,10048,6403,852.00,566,189045,174900,18316.00,35256,20.16
Gumla,7,1,,,0.00,,,,,,5893,2570,499.00,290,93289,94480,8768.00,24043,25.45
Hazaribagh,14,31,1.00,0,0.61,16,42,1,5.27,12.66,13619,9034,1581.00,1094,261714,385573,27788.00,118164,30.65
Jamtara,,,,,,4,8,,,0.00,3778,1609,397.00,159,116722,89888,12819.00,16064,17.87
Khunti,7,1,,,0.00,,,,,,1977,889,114.00,34,58632,61269,5765.00,15970,26.07
Koderma,,,,,,4,8,,,0.00,4879,3069,690.00,494,78823,131380,12932.00,45733,34.81
Latehar,7,2,,,0.00,4,6,1,1.35,24.50,2047,1119,158.00,70,99506,94390,8053.00,17267,18.29
Lohardaga,,,,,,,,,,,4996,2853,377.00,178,72258,73897,6719.00,20394,27.60
Pakur,52,15,,,0.00,,,,,,22869,12076,2310.00,1370,124411,125590,14220.00,21778,17.34
Palamu,111,1874,2.00,70,3.74,16,36,6,15.13,41.61,13867,10496,857.00,530,253790,251195,18038.00,50697,20.18
Ramgarh,22,172,2.00,2,1.30,8,31,3,9.90,31.54,8956,5463,673.00,421,93300,192673,11746.00,70439,36.56
Ranchi,937,2073,4.00,11,0.54,256,489,55,164.85,33.72,34485,33740,4231.00,7514,1551423,2231313,142782.00,753946,33.79
Sahibganj,,,,,,,,,,,13593,7932,1494.00,865,140692,123138,14886.00,25813,20.96
Simdega,,,,,,,,,,,2459,1147,283.00,168,42146,45160,5344.00,11972,26.51
West Singhbhum,,,,,,8,15,2,3.62,24.41,9244,5089,538.00,241,146414,161706,12266.00,35666,22.06
