district,target,total_app_recd,sanc_app,sanc_pct,app_disb,amt_dis_in_cr,disbpct_of_sanc,pending_for_disb,rej_app
Bokaro,226,113,20,8.85,8,6.79,40.00,12,56
Chatra,94,118,8,8.51,4,3.91,50.00,4,63
Deoghar,178,49,12,6.74,11,7.14,91.67,1,13
Dhanbad,234,152,11,4.70,1,7.52,9.09,10,82
Dumka,134,95,13,9.70,9,6.48,69.23,4,41
Garhwa,120,34,4,3.33,3,6.81,75.00,1,24
Giridih,178,85,8,4.49,6,7.13,75.00,2,45
Godda,162,130,16,9.88,4,6.58,25.00,12,37
Gumla,79,65,11,13.92,2,3.03,18.18,9,27
Hazaribagh,223,106,8,3.59,0,21.31,0.00,8,40
Jamtara,92,90,5,5.43,4,1.99,80.00,1,37
Khunti,62,22,5,8.06,2,1.74,40.00,3,13
Koderma,76,59,5,6.58,1,3.62,20.00,4,29
Latehar,104,17,4,3.85,1,5.32,25.00,3,11
Lohardaga,64,22,1,1.56,0,3.81,0.00,1,6
Pakur,72,40,3,4.17,1,1.61,33.33,2,32
Palamu,151,32,4,2.65,3,6.27,75.00,1,22
Ramgarh,126,51,1,0.79,0,3.75,0.00,1,22
Ranchi,341,110,17,4.99,12,23.73,70.59,5,51
Sahibganj,93,87,4,4.30,3,4.17,75.00,1,57
Seraikela-Kharsawan,132,110,4,3.03,1,5.05,25.00,3,58
Simdega,131,51,7,5.34,3,1.77,42.86,4,30
West Singhbhum,135,119,3,2.22,1,2.03,33.33,2,59
