district,target_for_2025_26_no_of_prj,mm_involve_in_lakh,forwarded_to_bank_no_of_prj,mm_involve_in_lakh,sanctioned_by_bank_no_of_prj,mm_involve_in_lakh,margin_money_claimed_no_of_prj,mm_involve_in_lakh,mm_disbursed_no_of_prj,mm_involve_in_lakh,returned_by_bank_no_of_prj,mm_in_lakh,pending_at_bank_no_of_prj,mm_involve_in_lakh,no_of_prj
Bokaro,,,,,1,3.50,30,76.37,9,22.84,,,,,30
Chatra,,,,,1,3.23,7,20.40,5,12.25,,,,,7
Deoghar,,,,,,,23,73.01,13,20.71,,,,,22
Dhanbad,,,,,2,30.00,23,58.95,14,12.14,,,,,23
Dumka,,,,,,,30,76.51,9,16.78,,,,,30
Garhwa,,,,,,,14,24.02,5,18.60,,,,,14
Giridih,,,,,1,5.95,22,81.45,9,20.36,,,,,22
Godda,,,,,,,22,65.22,9,31.54,,,,,20
Gumla,,,,,1,8.75,12,28.40,11,36.27,,,,,12
Hazaribagh,,,,,2,13.91,31,89.62,21,63.84,,,,,30
Jamtara,,,1,2.50,1,1.75,15,36.57,11,24.63,,,1,2.50,13
Khunti,,,,,1,1.75,14,31.58,7,10.73,,,,,14
Koderma,,,,,,,10,41.28,7,16.00,,,,,10
Latehar,,,,,,,4,7.08,4,10.90,,,,,4
Lohardaga,,,,,1,1.58,8,14.40,9,19.56,,,,,8
Pakur,,,,,,,4,7.20,6,9.53,,,,,4
Palamu,,,,,,,10,22.10,7,13.97,,,,,10
Ramgarh,,,,,,,13,83.19,8,25.46,,,,,13
Ranchi,,,,,,,45,147.61,23,65.65,,,,,45
Sahibganj,,,,,,,17,25.15,12,9.34,,,,,17
Simdega,,,,,,,7,13.58,5,12.03,,,,,7
