district,farm_credit_target_no,amt,achv_no,amt,achv_pct_amt,crop_loans_out_of_farm_credit_target_no,amt,achv_no,amt,achv_pct_amt
Bokaro,144862,119164,10793,11157.73,9.36,106842,58765,6301,4817.46,8.20
Chatra,112821,79766,7625,5681.48,7.12,91551,50353,5259,3083.57,6.12
Deoghar,206837,140541,15763,11379.66,8.10,164424,90432,11004,6937.58,7.67
Dhanbad,174935,135723,24256,18845.26,13.89,105915,58253,3590,3603.28,6.19
Dumka,137612,102861,13582,7975.27,7.75,88309,48570,9486,4304.85,8.86
East Singhbhum,234376,182054,12681,14907.14,8.19,190647,104857,7579,6101.56,5.82
Garhwa,170967,119645,10059,8617.51,7.20,125808,69195,5090,4765.28,6.89
Giridih,208739,152609,15360,14308.54,9.38,148230,81526,8459,5800.14,7.11
Godda,169769,117919,12350,9519.14,8.07,137270,75498,8824,5449.11,7.22
Gumla,80482,54058,4759,4689.24,8.67,70390,38715,3606,2630.22,6.79
Hazaribagh,222877,168602,13543,13431.88,7.97,170873,93979,7953,5621.85,5.98
Jamtara,108158,69951,9721,6169.32,8.82,92482,50865,8082,4990.90,9.81
Khunti,52487,36969,3418,2960.92,8.01,43088,23697,2405,1428.15,6.03
Koderma,60922,48452,5743,4652.44,9.60,41196,22659,2394,1348.08,5.95
Latehar,91061,65965,4965,4533.72,6.87,74944,41219,3216,2338.62,5.67
Lohardaga,61303,37581,3355,3289.26,8.75,54841,30163,2443,2114.16,7.01
Pakur,88930,69887,6732,5398.53,7.72,61022,33563,4222,2548.70,7.59
Palamu,230351,166741,12571,11669.57,7.00,169645,93305,6852,6573.85,7.05
Ramgarh,70350,57390,4172,3723.91,6.49,47310,26021,2058,1215.87,4.67
Ranchi,1445206,963346,114155,64021.16,6.65,222265,122248,9119,6796.80,5.56
Sahibganj,117755,83034,9446,7720.58,9.30,90698,49884,5739,3314.27,6.64
Simdega,35137,24683,2619,2590.76,10.50,27627,15195,1449,865.61,5.70
West Singhbhum,124722,83591,7890,6436.40,7.70,104195,57307,6141,3672.56,6.41
