district,target_no,amt,disbursement_upto_the_end_of_current_quarter_micro*_no,amt,small_no,amt,medium_no,amt,other_msme_no,amt,total_msme_no,amt,achv_pct_amt
Bokaro,21357,274078,6955.00,71912,369.00,56150,69.00,44517,3.00,160,7396.00,172740,63.03
Chatra,4111,26246,2074.00,10251,32.00,3826,8.00,57,,,2114.00,14135,53.86
Deoghar,13769,157010,4643.00,44233,205.00,22339,44.00,16221,1.00,4,4893.00,82797,52.73
Dhanbad,33608,495662,9839.00,114163,710.00,106708,190.00,59058,3.00,15,10742.00,279944,56.48
Dumka,7474,61726,2420.00,15965,116.00,12575,12.00,449,1.00,150,2549.00,29138,47.21
East Singhbhum,34344,819675,10719.00,164656,1226.00,177154,370.00,161171,1.00,0,12316.00,502981,61.36
Garhwa,4183,28351,1355.00,10728,51.00,4215,1.00,0,1.00,20,1408.00,14964,52.78
Giridih,19596,147567,6563.00,53880,165.00,26882,34.00,4866,2.00,37,6764.00,85664,58.05
Godda,7840,45185,2509.00,16582,103.00,5054,3.00,1034,,,2615.00,22670,50.17
Gumla,3126,26623,1298.00,10532,49.00,4389,7.00,106,,,1354.00,15027,56.45
Hazaribagh,18456,179128,6859.00,49416,262.00,30183,52.00,9500,1.00,1,7174.00,89099,49.74
Jamtara,3697,15490,1492.00,7040,33.00,1432,2.00,4,,,1527.00,8476,54.72
Khunti,2473,18601,885.00,6922,29.00,2545,2.00,155,,,916.00,9622,51.73
Koderma,8812,65780,3309.00,22787,104.00,7781,21.00,3296,,,3434.00,33864,51.48
Latehar,5696,25362,1592.00,8812,35.00,2210,3.00,1,1.00,50,1631.00,11073,43.66
Lohardaga,3089,23711,1271.00,7829,40.00,3209,4.00,752,,,1315.00,11790,49.72
Pakur,10731,40082,2672.00,9767,70.00,2942,5.00,620,,,2747.00,13330,33.26
Palamu,7965,65739,2435.00,20368,141.00,12960,19.00,2171,,,2595.00,35500,54.00
Ramgarh,9679,116097,3628.00,31740,160.00,21069,39.00,6687,,,3827.00,59496,51.25
Ranchi,54514,1082028,16474.00,258505,1512.00,227888,319.00,129789,10.00,1406,18315.00,617588,57.08
Sahibganj,7857,29031,2494.00,10675,60.00,2788,13.00,521,,,2567.00,13984,48.17
Simdega,2027,13601,919.00,6121,16.00,966,3.00,35,,,938.00,7122,52.36
West Singhbhum,8158,61337,2179.00,15206,103.00,10239,19.00,1261,,,2301.00,26706,43.54
