district,doubling_of_farmers_income_by_june_25_details_of_farmer_total_no_of_farmers_a,out_of_a_total_no_of_operational_holdings_b,out_of_a_total_no_of_pm_kissan_beneficiary_farmers_c,out_of_a_total_no_of_sf_mf_farmers_d,out_of_a_total_no_of_tenant_farmers_e,total_no_of_sf_mf_tenant_farmers_d+e_f,benchmark_parameter_coverage_of_farmers_no_of_agri_loan_accounts_g,out_of_g_total_no_of_kcc_a_cs_no_of_a_cs_h,out_of_g_total_no_of_sf_mf_a_cs_no_of_a_cs_i,out_of_g_total_no_of_allied_activities_a_cs_no_of_a_cs_j,out_of_h_total_no_of_kcc_a_cs_total_no_of_pm_kissan_beneficiary_no_of_a_cs_k,no_of_sf_mf_accounts_financed_disbursed_during_the_year_no_of_a_cs_l,no_of_tenant_farmers_accounts_financed_disbursed_during_the_year_no_of_a_cs_m,total_no_of_sf_mf_and_tenant_farmers_accounts_financed_disbursed_during_the_year
Bokaro,87991,87991,55580,87991,0,87991,85934,55580,58919,12960,55580,29946,0,29946
Chatra,124580,73043,121194,113017,31305,144322,166335,142663,99769,20161,91284,48312,17314,65626
Deoghar,334018,111000,292843,252280,0,252280,118167,89296,89296,15966,89296,60849,0,60849
Dhanbad,96360,41631,86273,40798,0,40798,,79437,,,,,,0
Dumka,120752,108973,104479,116504,0,116504,99615,70442,99615,29173,69189,56152,0,56152
Garhwa,248000,183398,303525,220000,0,220000,92345,60241,81264,8966,59784,16618,0,16618
Giridih,154499,139049,154499,123874,0,123874,150056,84741,84741,41292,84741,44910,0,44910
Godda,140000,86782,109736,86400,36750,123150,138100,88500,90950,1300,78750,9250,0,9250
Gumla,321272,305690,92807,286440,15400,301840,24244,17893,21781,3215,16993,21781,0,21781
Hazaribagh,232610,129112,224902,115473,1931,117404,137373,88587,119761,21767,70542,1667,43,1710
Jamtara,125326,37570,112033,75196,2600,77796,63796,48915,29349,5881,41848,17103,0,17103
Khunti,75000,75000,66851,66505,6489,72994,57688,52436,49931,5698,46073,10201,180,10381
Koderma,106000,35750,38426,71550,23850,95400,240176,205354,204100,175857,71820,5776,3968,9744
Latehar,77791,75190,57704,60011,0,60011,39438,30673,31550,394,,14955,,0
Lohardaga,99780,52916,49437,42686,0,42686,58818,49724,49912,9716,45482,9163,0,9163
Pakur,124500,111000,90058,90058,34442,124500,10031,76008,60562,95873,75124,10715,1803,12518
Palamu,293231,274040,226117,253478,0,253478,147923,83578,136829,63167,83578,42633,,0
Ramgarh,69508,69508,54893,0,0,0,34414,26918,,11998,,,,0
Ranchi,105614,100210,85410,69601,12620,82221,129537,48200,30654,1562,43206,11325,1697,13022
Sahibganj,130000,95088,34302,110000,20000,130000,67195,42836,28940,16922,28430,26402,9540,35942
Simdega,128544,84593,31040,64342,0,64342,49182,39302,29658,9006,36330,225,0,225
