district,total_disbursment_during_this_current_afy_number,amount,outstanding_at_the_end_of_reporting_quarter_number,amount,"out_of_total_kcc_issued,_no_of_rupay_cards_issued_number",kcc_card_activated_number
Bokaro,5,8.15,88,73.13,52,47
Chatra,7,5.18,31,37.83,25,21
Deoghar,2,0.65,23,8.63,10,10
Dhanbad,3,3.46,117,55.77,83,75
Dumka,2,0.29,47,18.44,17,16
East Singhbhum,1,4.23,85,43.56,36,30
Garhwa,9,0.00,12,8.68,9,9
Giridih,5,8.74,100,45.97,92,84
Godda,,0.02,27,16.65,19,19
Gumla,2,2.56,27,14.60,19,16
Hazaribagh,8,15.36,161,114.57,119,104
Jamtara,2,0.95,7,3.89,3,3
Khunti,,0.30,33,20.19,16,17
Koderma,4,19.53,87,79.65,57,32
Latehar,,3.57,22,32.99,6,6
Lohardaga,7,11.51,72,73.75,50,45
Pakur,,0.05,37,17.97,6,4
Palamu,2,3.33,15,12.48,3,2
Ramgarh,2,6.37,81,51.48,75,58
Ranchi,,6.63,84,49.66,53,51
Sahibganj,5,7.94,81,60.73,58,58
Seraikela-Kharsawan,14,20.95,335,280.06,157,132
Simdega,5,5.13,61,42.80,22,17
West Singhbhum,8,9.98,108,81.15,9,8
