district,agri_infrastructure_target_no,amt,achv_no,amt,achv_pct_amt,anicillary_activities_includes_all_ancillary_activites_under_agriculture_sector,amt,achv_no,amt,achv_pct_amt,total_agriculture_farm_credit+agri_infr+anci_acti_target_no,amt,achv_no,amt,achv_pct_amt
Bokaro,37,174,17,87.26,50.18,6177,19848,4938,10503.36,52.92,151076,139185,15748,21748.34,15.63
Chatra,2,3,1,2.00,72.54,4675,10638,4044,4924.87,46.29,117498,90407,11670,10608.35,11.73
Deoghar,42,869,14,36.51,4.20,822,14467,840,10024.59,69.29,207701,155877,16617,21440.76,13.75
Dhanbad,102,1961,15,148.65,7.58,5327,25900,3002,14248.98,55.02,180364,163584,27273,33242.89,20.32
Dumka,7,22,7,21.24,97.56,403,3807,1520,3307.13,86.87,138022,106690,15109,11303.64,10.59
East Singhbhum,65,1825,11,428.03,23.45,9293,34719,3435,15007.45,43.23,243734,218598,16127,30342.62,13.88
Garhwa,6,53,2,10.70,20.37,363,1309,400,491.76,37.57,171336,121006,10461,9119.97,7.54
Giridih,32,50,12,410.76,815.33,6059,22308,4782,11059.87,49.58,214830,174968,20154,25779.17,14.73
Godda,101,155,12,23.48,15.15,789,2186,2381,1926.35,88.13,170659,120260,14743,11468.98,9.54
Gumla,2,6,2,5.29,88.84,3386,10095,2077,3857.19,38.21,83870,64158,6838,8551.71,13.33
Hazaribagh,51,203,7,29.83,14.73,5525,24767,5159,13734.88,55.46,228453,193571,18709,27196.59,14.05
Jamtara,6,11,6,9.34,83.32,783,1959,1121,1168.75,59.67,108947,71921,10848,7347.41,10.22
Khunti,5,5,2,0.59,12.32,1507,4060,1291,3271.74,80.59,53999,41033,4711,6233.26,15.19
Koderma,14,54,2,11.75,21.86,3793,12683,2966,6440.40,50.78,64729,61189,8711,11104.59,18.15
Latehar,2,1,1,0.10,16.54,478,1229,1217,1454.23,118.33,91541,67195,6183,5988.04,8.91
Lohardaga,2,89,,,0.00,2708,9248,1641,5049.06,54.60,64013,46919,4996,8338.31,17.77
Pakur,22,301,6,27.06,8.99,1626,2771,2398,1559.19,56.27,90578,72958,9136,6984.77,9.57
Palamu,34,150,4,12.25,8.17,764,3604,1853,2548.69,70.73,231149,170494,14428,14230.51,8.35
Ramgarh,29,238,2,12.51,5.26,3490,10977,2912,6439.55,58.66,73869,68605,7086,10175.98,14.83
Ranchi,236,3757,36,812.48,21.62,6818,104770,3933,55643.92,53.11,1452260,1071873,118124,120477.57,11.24
Sahibganj,4,16,2,2.72,17.01,920,1774,1272,3002.24,169.20,118679,84825,10720,10725.54,12.64
Simdega,4,5,,,0.00,2427,5393,1477,2061.39,38.22,37568,30080,4096,4652.15,15.47
West Singhbhum,9,13,6,19.04,150.82,3367,8408,1332,1641.66,19.52,128098,92012,9228,8097.10,8.80
