district,advances,no_of_cd_ratio_deposit_br,advances,no_of_cd_ratio_deposit_br,advances,no_of_cd_ratio_deposit_br,core_advances,place_of_cd_ratio_utili_zation,total_advances
Bokaro,139379,29.7857540051,159914,29.61921510747,629217,41.652262518870,928510,36.86514084,1442594
Chatra,86542,38.0123284266,74030,26.0401285,5983,465.5669513253,166556,32.4547,166602
Deoghar,114459,37.9625120390,48816,40.5549734166,309556,42.161461156079,472830,40.90-612,472218
Dhanbad,132854,24.2561462287,203303,43.981823454717,1374802,39.793194464827,1710959,38.32149415,1860374
Dumka,101970,34.3738356625,139725,39.1826299,3676,58.36126659629,245371,37.2034,245405
East Singhbhum,140618,40.5274535395,209513,39.131983579088,2090770,58.423544461547,2440902,54.71720506,3161407
Garhwa,82809,46.2333232613,101689,43.7201991,2256,113.31102413747,186754,45.14139,186893
Giridih,225247,32.38962369,15035,24.1139421797,287047,68.051851179825,527329,44.7011650,538979
Godda,119244,38.5330296638,102599,34.5901919,2859,148.97103608012,224702,36.96116459,341161
Gumla,56573,31.7431259262,87452,33.7332904,3625,124.8286440400,147650,33.5317,147667
Hazaribagh,181481,38.3332197133,107322,54.4456870582,412506,47.381841541164,701309,45.515953,707262
Jamtara,51362,33.2129197443,54378,27.540-,1613,69352109,107353,30.491,107355
Khunti,48953,40.8222142706,58346,40.8904506,3269,72.5453267146,110567,41.3939,110606
Koderma,61352,34.8034328717,153477,46.6903152,9425,299.0667508178,224254,44.1382003,306257
Latehar,56680,44.0629172273,70644,41.010-,2712,56300921,130035,43.2146501,176537
Lohardaga,40781,53.6022163637,66674,40.7502225,2290,102.9546241948,109746,45.36500,110246
Pakur,62918,50.3323191066,78997,41.351-,2517,62316065,144432,45.7048,144480
Palamu,141964,42.5258618037,215308,34.840-,8143,143951874,365415,38.3926872,392287
Ramgarh,96304,36.6670785207,322006,41.011503,14097,2803.871181048416,432406,41.2446467,478873
Ranchi,527261,71.6049375131,152436,40.643198479475,4036787,47.615279590986,4716484,49.18146522,4863006
Sahibganj,59584,41.2136289413,102443,35.400-,2661,77434009,164688,37.9540450,205139
Seraikela-Kharsawan,195157,55.0119100781,42655,42.3227295845,265135,89.62129751402,502947,66.934537,507484
Simdega,31231,28.6122123456,40057,32.450-,1926,53232604,73214,31.4898,73311
West Singhbhum,99616,41.38633606010,388223,10.770110054,43530,39.551363956796,531370,13.43487057,1018427
