district,total_advance_target_no,amt,total_advance_no,amt,achv_pct_amt
Bokaro,248087,809197,48505,296298.91,36.62
Chatra,133106,154931,16934,34407.46,22.21
Deoghar,263892,439395,33558,141002.91,32.09
Dhanbad,351709,1295595,82925,548257.04,42.32
Dumka,176720,237261,23504,57659.38,24.30
East Singhbhum,523508,2240839,99363,866952.33,38.69
Garhwa,195496,197239,15976,35633.65,18.07
Giridih,284276,508366,38868,160444.21,31.56
Godda,201724,230306,22461,49286.63,21.40
Gumla,100151,125247,11016,32157.81,25.68
Hazaribagh,311164,576184,43544,168539.39,29.25
Jamtara,123519,116734,15119,22696.28,19.44
Khunti,64583,90981,7875,23977.64,26.35
Koderma,92044,186381,17819,62234.39,33.39
Latehar,107486,128337,10640,25094.47,19.55
Lohardaga,78124,97000,8682,25927.79,26.73
Pakur,137866,159632,17484,29784.30,18.66
Palamu,280552,342538,26546,74466.62,21.74
Ramgarh,119454,356810,20058,122333.11,34.29
Ranchi,1809368,5264388,222310,1793807.16,34.07
Sahibganj,151464,163070,17997,35523.00,21.78
Seraikela-Kharsawan,284367,563939,31801,183503.62,32.54
Simdega,46071,60501,6693,16050.21,26.53
West Singhbhum,164917,573364,18047,171995.81,30.00
