district,target_fy_2025_26_ac,amt,priority_sector_outstanding_as_on_as_on_30th_june_2024_ac,amt,disbursed_from_01st_april_to_the_end_of_reporting_quarter_acp_ac,amt,outstanding_as_on_as_on_30th_june_2025_ac,amt,non_priority_sector_outstanding_as_on_as_on_30th_june_2024_ac,amt,disbursed_from_01st_april_to_the_end_of_reporting_quarter_acp_ac,amt,outstanding_as_on_as_on_30th_june_2025_ac,amt
Bokaro,2284,28662,3212,30829,196,1174,3701,45630,4159,72221,344,4337,3739,66240
Chatra,116,1335,163,1282,11,29,204,2132,186,3197,9,138,165,2792
Deoghar,982,14812,1655,11895,91,651,1631,15545,1722,33782,137,2367,1703,35759
Dhanbad,4734,56018,10046,88680,418,4019,8910,102640,7116,83017,569,7249,6786,87064
Dumka,333,3717,738,5984,61,305,794,7128,317,6811,27,390,294,6894
East Singhbhum,177,1831,9777,77373,494,3041,10326,116128,13668,238979,856,15774,11819,227261
Garhwa,567,7092,280,2429,15,106,309,3152,174,2807,26,368,163,2907
Giridih,420,5565,910,7359,42,279,991,10522,909,17748,81,1689,889,18377
Godda,139,2374,1062,10207,59,482,1100,11990,311,4456,27,623,263,4942
Gumla,1132,16445,274,2457,13,100,329,3495,228,5078,18,225,192,4815
Hazaribagh,112,1126,2235,18420,108,450,2615,26231,2279,38060,185,3345,2087,37914
Jamtara,148,1929,333,2313,10,38,353,2430,225,2640,11,125,193,2810
Khunti,194,3117,229,2172,12,67,265,2774,208,4312,24,265,184,4398
Koderma,93,1020,593,4048,24,173,609,5816,373,7007,26,261,313,6510
Latehar,107,1398,180,1917,11,48,203,2287,116,2483,10,69,112,2299
Lohardaga,221,2075,260,2115,8,54,288,2671,213,4354,8,60,191,4002
Pakur,423,4895,394,3558,11,69,404,3859,335,5393,20,193,309,5624
Palamu,516,7040,729,6398,47,222,843,8106,547,10820,41,605,516,10751
Ramgarh,5838,89382,965,9056,24,104,1002,11077,1406,27833,142,2273,1397,29661
Ranchi,826,10990,12283,143905,768,5715,13979,198398,19610,432245,1448,29273,18770,433632
Sahibganj,9265,169342,487,4221,79,206,618,4832,255,3369,11,184,216,3287
Seraikela-Kharsawan,365,2028,1425,10567,130,579,1793,18312,1778,30864,130,2029,1517,27969
Simdega,994,12591,123,1069,1,4,148,1495,93,1619,6,51,74,1383
West Singhbhum,39,466,864,8210,54,359,1003,11190,815,14469,91,1359,768,14082
