district,no_of_branches,pmjjby_fresh_enroll_target,achv,in_pct,renewals,total_active_cases,pmsby_target_fresh_enroll_target,achv,in_pct,renewals,total_active_cases,atal_pension_yojna_apy_target_2025_26,achv,in_pct,since_inception
Bokaro,226,119080,4682,3.93,187675,192357,192920,9953,5.16,629663,639616,20210,4972,24.60,126113
Chatra,69,39936,2964,7.42,128413,131377,65572,5212,7.95,374044,379256,5955,3709,62.28,81713
Deoghar,146,83460,5619,6.73,179876,185495,132912,13088,9.85,623819,636907,12365,6346,51.32,157169
Dhanbad,319,153400,5546,3.62,213573,219119,248456,10970,4.42,772972,783942,25000,4011,16.04,138710
Dumka,126,78052,5374,6.89,183992,189366,124436,9341,7.51,535997,545338,11010,6284,57.08,118658
Garhwa,102,51168,3719,7.27,116444,120163,83876,6969,8.31,369398,376367,7920,5323,67.21,82061
Giridih,185,94380,4912,5.20,231016,235928,155480,11385,7.32,720481,731866,15690,5523,35.20,168116
Godda,103,71500,3971,5.55,155911,159882,112684,7870,6.98,471850,479720,9820,6087,61.99,131466
Gumla,86,42848,3241,7.56,120742,123983,72488,5164,7.12,370547,375711,6425,3760,58.52,81040
Hazaribagh,184,98904,5298,5.36,199088,204386,159848,8390,5.25,603820,612210,16480,5404,32.79,142427
Jamtara,69,45552,2961,6.50,94870,97831,72644,5512,7.59,308892,314404,6260,2972,47.48,71218
Khunti,53,27300,1523,5.58,42612,44135,44772,2821,6.30,131826,134647,3560,2136,60.00,39609
Koderma,67,36608,2112,5.77,78495,80607,60008,3666,6.11,254520,258186,5765,1697,29.44,49461
Latehar,56,30680,2755,8.98,83832,86587,49296,4516,9.16,266124,270640,4215,3462,82.14,62194
Lohardaga,46,22932,1481,6.46,52649,54130,39052,2494,6.39,171349,173843,4245,2226,52.44,42180
Pakur,62,39832,3848,9.66,98725,102573,62972,6621,10.51,391323,397944,5420,4822,88.97,113923
Palamu,143,83252,8698,10.45,207151,215849,134836,16357,12.13,632849,649206,12120,8395,69.27,128125
Ramgarh,118,60164,1526,2.54,114419,115945,97240,3430,3.53,345579,349009,9325,1741,18.67,52546
Ranchi,527,238732,11744,4.92,271302,283046,385736,22967,5.95,859093,882060,43250,12052,27.87,263074
Sahibganj,77,48308,3422,7.08,177351,180773,77220,6791,8.79,631363,638154,7255,5931,81.75,120436
Seraikela-Kharsawan,129,63336,2507,3.96,70026,72533,105664,3704,3.51,225856,229560,10085,3355,33.27,71659
Simdega,53,25480,1275,5.00,80871,82146,43108,3388,7.86,229970,233358,4185,1730,41.34,36982
West Singhbhum,136,71760,5292,7.37,126146,131438,119340,9332,7.82,377583,386915,13045,5190,39.79,104131
