district,export_credit_target_no,amt,achv_no,amt,achv_pct_amt,education_target_no,amt,achv_no,amt,achv_pct_amt,housing_target_no,amt,achv_no,amt,achv_pct_amt
Bokaro,75,341,,,0.00,1856,3748,498,717.10,19.14,845,4549,196,1173.85,25.80
Chatra,32,143,,,0.00,81,167,24,34.03,20.44,53,453,11,29.11,6.43
Deoghar,50,224,,,0.00,580,1250,177,253.18,20.26,325,1744,91,651.31,37.34
Dhanbad,69,321,,,0.00,3097,5503,1182,1389.86,25.26,2494,17946,423,4043.76,22.53
Dumka,40,179,,,0.00,86,195,22,32.27,16.51,222,1565,61,305.18,19.50
East Singhbhum,57,261,,,0.00,3386,8655,1019,2014.93,23.28,2132,11647,494,3041.30,26.11
Garhwa,50,226,,,0.00,133,243,27,24.38,10.03,94,560,15,106.11,18.96
Giridih,63,283,2.00,150,53.09,438,792,109,140.00,17.69,202,1131,42,278.80,24.66
Godda,36,165,,,0.00,198,334,45,62.70,18.76,256,2540,59,481.99,18.98
Gumla,37,170,,,0.00,282,465,64,73.45,15.79,74,493,13,100.42,20.38
Hazaribagh,60,272,,,0.00,717,1559,214,319.08,20.47,379,1936,108,450.37,23.26
Jamtara,27,122,,,0.00,205,279,37,43.51,15.59,64,457,10,37.98,8.30
Khunti,20,91,,,0.00,72,171,12,13.39,7.85,84,483,12,67.33,13.94
Koderma,26,118,,,0.00,292,493,73,96.77,19.61,81,723,24,172.63,23.87
Latehar,25,113,,,0.00,124,279,69,86.18,30.88,62,315,11,47.89,15.19
Lohardaga,22,100,,,0.00,90,180,23,33.76,18.76,48,135,8,54.31,40.30
Pakur,26,118,,,0.00,64,101,16,23.59,23.28,91,240,11,69.50,28.97
Palamu,50,227,,,0.00,368,760,103,130.47,17.17,264,1570,47,221.85,14.13
Ramgarh,49,217,,,0.00,464,1003,131,230.32,22.97,253,1084,24,104.03,9.60
Ranchi,109,494,,,0.00,5468,15189,1285,2475.64,16.30,3394,25427,768,5714.62,22.47
Sahibganj,43,193,,,0.00,227,352,26,32.70,9.28,293,806,79,205.58,25.51
Simdega,28,127,,,0.00,51,132,26,26.49,20.13,13,74,1,4.00,5.42
West Singhbhum,67,304,,,0.00,575,1127,143,258.78,22.96,264,1822,54,359.36,19.72
