district,outstanding_loans_to_women_a_cs,amount,individual_women_a_cs,amount,loans_disbursed_to_women_a_cs,amount
Bokaro,92435,147677.21,33627,10891.04,21625,42535.41
Chatra,33809,33405.73,15848,5220.16,10062,17014.33
Deoghar,61108,70108.97,24981,8927.72,12526,13649.96
Dhanbad,324944,257504.83,217758,52956.03,42938,56681.19
Dumka,54905,42737.94,39299,13432.88,7115,7271.58
East Singhbhum,185849,335735.50,55641,17468.78,40076,72567.70
Garhwa,52170,32221.21,32538,12152.51,5690,5357.16
Giridih,120584,87690.37,61563,18824.58,25646,32794.54
Godda,51478,39230.38,34849,13309.25,7198,7475.88
Gumla,25816,34526.02,6988,2609.12,8739,15438.17
Hazaribagh,96994,115146.95,38865,13650.55,18787,36598.84
Jamtara,16638,15821.93,9580,3637.78,3974,4275.16
Khunti,20669,22297.84,9958,2635.81,5166,10802.02
Koderma,45565,48092.11,14536,4924.37,11304,19164.01
Latehar,15155,15915.22,8608,3250.02,2282,3067.62
Lohardaga,19622,26623.04,7205,2221.97,6249,13327.82
Pakur,46512,29153.56,35036,12196.47,7399,7223.48
Palamu,90830,64033.35,53393,19185.84,8703,10477.13
Ramgarh,48907,66804.59,26399,7683.57,9469,21319.62
Ranchi,212802,589488.39,62688,23319.21,39390,91237.75
Sahibganj,50337,33496.77,34160,14178.52,7518,6177.45
Seraikela-Kharsawan,48583,66185.63,16837,5280.58,13352,21753.48
Simdega,16285,18889.12,5013,1785.52,6645,9381.06
West Singhbhum,50079,59222.69,18966,5877.39,14913,18858.07
