district,total_disbursment_during_this_current_afy_number,amount,outstanding_at_the_end_of_reporting_quarter_number,amount,"out_of_total_kcc_issued,_no_of_rupay_cards_issued_number",kcc_card_activated_number
Bokaro,19,54.85,470,237.87,408,230
Chatra,12,38.12,305,122.97,223,108
Deoghar,20,88.30,317,235.48,111,86
Dhanbad,397,576.07,5499,4331.76,5172,3185
Dumka,3,7.62,58,33.94,35,28
East Singhbhum,22,70.13,736,482.32,624,458
Garhwa,17,48.17,126,109.35,87,59
Giridih,74,215.67,632,492.36,550,333
Godda,8,24.44,216,117.50,103,91
Gumla,11,54.66,676,350.95,595,389
Hazaribagh,227,490.00,970,901.21,674,449
Jamtara,2,1.97,74,33.18,37,26
Khunti,18,27.80,555,174.94,429,346
Koderma,112,110.03,1057,410.14,1022,369
Latehar,6,3.28,266,96.83,75,58
Lohardaga,11,64.52,1027,372.13,916,771
Pakur,19,15.11,181,110.98,45,24
Palamu,46,172.45,216,268.29,89,76
Ramgarh,65,106.80,899,348.51,733,557
Ranchi,93,116.15,1185,632.34,475,406
Sahibganj,34,45.06,406,273.07,315,312
Seraikela-Kharsawan,8,17.11,135,102.12,119,84
Simdega,1,20.24,742,106.77,690,588
West Singhbhum,15,28.65,137,164.27,47,47
