district,number_of_operative_casa,number_of_aadhaar_seeded_casa,pct_of_casa_aadhaar_seeding,number_of_authenticated_casa,pct_casa_authentication
Bokaro,2520100,1944228,77.15,1811034,71.86
Chatra,1264197,1059785,83.83,994781,78.69
Deoghar,2249308,1705707,75.83,1545616,68.72
Dhanbad,3490493,2752409,78.85,2359274,67.59
Dumka,1652461,1220436,73.86,1075277,65.07
East Singhbhum,3466218,2540160,73.28,2430575,70.12
Garhwa,1653055,1346150,81.43,1124175,68.01
Giridih,3066942,2556935,83.37,2410361,78.59
Godda,1607408,1226921,76.33,1024425,63.73
Gumla,1179140,950159,80.58,977400,82.89
Hazaribagh,2487187,2011594,80.88,1867309,75.08
Jamtara,922411,715386,77.56,649307,70.39
Khunti,592785,473820,79.93,467114,78.80
Koderma,1044983,869827,83.24,764842,73.19
Latehar,928649,751286,80.90,663618,71.46
Lohardaga,649961,546615,84.10,524964,80.77
Pakur,1087722,850281,78.17,777669,71.50
Palamu,2692821,2181795,81.02,1741291,64.66
Ramgarh,1234090,951468,77.10,878267,71.17
Ranchi,5113336,4001678,78.26,3662780,71.63
Sahibganj,1498554,1182743,78.93,1093239,72.95
Seraikela-Kharsawan,1285743,1073099,83.46,1009999,78.55
Simdega,704958,592998,84.12,615382,87.29
West Singhbhum,1793762,1417747,79.04,1352132,75.38
