district,as_on_30th_june_2025_micro*_no,amt,small_no,amt,medium_no,amt,other_msme_no,amt,total_no,amt,pct_of_msme_to_total_advances
Bokaro,42838,174580.42,1251,79201.95,264,58268.35,70,202.81,44423,312253.54,33.63
Chatra,8294,31091.73,124,5172.41,49,1173.91,1,1.31,8468,37439.36,22.48
Deoghar,21989,97892.98,624,35432.61,98,18275.20,16,22.69,22727,151623.48,32.07
Dhanbad,63035,283075.14,2420,175128.54,661,67870.48,78,344.74,66194,526418.89,30.77
Dumka,12142,45112.04,351,19015.17,68,4022.54,3,141.80,12564,68291.54,27.83
East Singhbhum,63883,392883.52,5734,280012.54,2243,192329.08,37,730.24,71897,865955.37,35.48
Garhwa,7198,25774.53,138,4873.87,4,123.65,4,27.14,7344,30799.19,16.49
Giridih,33136,106837.34,476,34854.10,134,7054.04,5,48.35,33751,148793.82,28.22
Godda,11842,36893.97,266,7416.05,13,1072.08,35,23.75,12156,45405.85,20.21
Gumla,7190,25140.40,153,4703.87,32,98.65,2,0.49,7377,29943.41,20.28
Hazaribagh,33621,172122.83,1085,45292.74,209,16456.80,7,14.47,34922,233886.84,33.35
Jamtara,6170,15142.02,69,1408.40,21,31.96,2,0.14,6262,16582.52,15.45
Khunti,5120,17053.01,99,3936.20,5,83.77,6,7.02,5230,21080.00,19.07
Koderma,16109,65591.91,415,12990.41,73,3829.96,3,10.50,16600,82422.79,36.75
Latehar,6579,20665.10,88,2968.20,8,252.17,2,54.96,6677,23940.43,18.41
Lohardaga,5958,19604.20,158,4681.05,14,47.29,6,15.49,6136,24348.04,22.19
Pakur,13662,26992.58,165,4030.70,31,992.71,2,3.14,13860,32019.13,22.17
Palamu,14093,51331.77,360,15178.32,42,2147.43,7,11.11,14502,68668.63,18.79
Ramgarh,19476,81844.94,516,30786.54,223,7437.08,4,1.68,20219,120070.24,27.77
Ranchi,94796,610356.54,4708,336438.89,863,168537.51,79,2212.82,100446,1117545.76,23.69
Sahibganj,12858,28512.96,183,4978.52,40,632.09,1,48.98,13082,34172.55,20.75
Seraikela-Kharsawan,22756,79047.39,914,65877.03,317,41716.89,32,425.21,24019,187066.52,37.19
Simdega,4872,14482.47,80,1079.42,5,37.94,1,0.02,4958,15599.86,21.31
West Singhbhum,16380,47423.85,488,20317.47,94,1890.66,25,78.82,16987,69710.80,13.12
