district,as_on_30th_june_2025_agriculture_non_pririoty_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,education_non_pririoty_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,housing_non_pririoty_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,personal_non_pririoty_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct
Bokaro,530,148.16,118,55,22.26,36.84,96,2458.68,2,12,2.08,0.47,3739,66240.31,33,262,0.88,0.40,31389,92095.97,1167,1789,3.72,1.94
Chatra,215,256.88,25,22,11.63,8.44,1,11.56,,,0.00,0.00,165,2792.12,1,,0.61,0.00,5358,17868.45,146,326,2.72,1.82
Deoghar,148,294.78,54,23,36.49,7.74,51,1334.48,2,8,3.92,0.57,1703,35758.97,4,7,0.23,0.02,13028,33310.04,602,554,4.62,1.66
Dhanbad,470,452.53,130,105,27.66,23.17,109,2276.42,4,56,3.67,2.48,6786,87063.70,111,974,1.64,1.12,50525,186111.72,2388,3673,4.73,1.97
Dumka,125,280.48,14,18,11.20,6.46,5,126.32,,,0.00,0.00,294,6894.21,1,13,0.34,0.19,6399,14344.08,310,357,4.84,2.49
East Singhbhum,649,292.71,83,39,12.79,13.24,1236,29640.92,6,37,0.49,0.12,11819,227260.89,128,1746,1.08,0.77,63436,160504.27,2648,3687,4.17,2.30
Garhwa,533,82.97,72,9,13.51,11.07,5,90.94,,,0.00,0.00,163,2906.84,1,25,0.61,0.88,5594,13637.13,178,220,3.18,1.61
Giridih,168,398.57,11,9,6.55,2.22,21,463.44,1,3,4.76,0.60,889,18377.12,16,56,1.80,0.31,15746,31113.74,729,682,4.63,2.19
Godda,245,523.91,21,35,8.57,6.64,5,40.49,,,0.00,0.00,263,4941.82,,,0.00,0.00,4921,11364.95,217,254,4.41,2.23
Gumla,414,494.65,295,154,71.26,31.12,2,43.24,,,0.00,0.00,192,4814.92,2,4,1.04,0.08,4053,10049.38,202,165,4.98,1.64
Hazaribagh,225,294.80,30,23,13.33,7.71,49,1084.87,3,4,6.12,0.34,2087,37913.61,63,229,3.02,0.60,19019,58037.54,994,1213,5.23,2.09
Jamtara,53,111.98,2,4,3.77,3.42,6,103.99,,,0.00,0.00,193,2809.71,1,77,0.52,2.75,3176,5634.50,183,256,5.76,4.55
Khunti,57,29.16,48,19,84.21,66.61,4,97.84,,,0.00,0.00,184,4398.24,,,0.00,0.00,2676,6757.29,99,306,3.70,4.53
Koderma,34,43.14,2,1,5.88,1.64,10,323.97,,,0.00,0.00,313,6510.12,6,46,1.92,0.71,6152,13125.13,213,239,3.46,1.82
Latehar,55,150.70,4,11,7.27,7.07,2,26.62,,,0.00,0.00,112,2298.73,4,35,3.57,1.51,3148,9413.02,136,190,4.32,2.02
Lohardaga,40,70.09,3,2,7.50,3.56,2,45.47,,,0.00,0.00,191,4002.48,3,151,1.57,3.77,2419,6467.52,191,259,7.90,4.00
Pakur,13,43.44,,,0.00,0.00,4,79.53,,,0.00,0.00,309,5624.11,2,5,0.65,0.09,2193,4580.12,144,121,6.57,2.64
Palamu,221,162.04,50,17,22.62,10.73,10,193.65,1,1,10.00,0.52,516,10750.60,5,51,0.97,0.48,11380,26453.86,444,505,3.90,1.91
Ramgarh,109,151.76,39,16,35.78,10.56,26,837.81,,,0.00,0.00,1397,29660.72,11,173,0.79,0.58,15078,58009.21,817,2482,5.42,4.28
Ranchi,314,36763.48,60,768,19.11,2.09,758,16129.53,10,71,1.32,0.44,18770,433631.51,188,2903,1.00,0.67,82423,255879.08,3306,4534,4.01,1.77
Sahibganj,260,701.36,28,51,10.77,7.24,3,36.38,,,0.00,0.00,216,3286.70,9,,4.17,0.00,4858,10622.78,286,324,5.89,3.05
Seraikela-Kharsawan,50,42.48,4,1,8.00,2.28,50,785.81,,,0.00,0.00,1517,27969.07,14,181,0.92,0.65,12661,28787.40,438,433,3.46,1.50
Simdega,35,136.40,1,4,2.86,3.07,3,44.91,,,0.00,0.00,74,1382.57,1,,1.35,0.00,1994,6086.75,130,178,6.52,2.93
West Singhbhum,127,117.30,11,19,8.66,16.23,61,1092.04,,,0.00,0.00,768,14082.39,40,218,5.21,1.55,10554,27566.94,612,927,5.80,3.36
