district,target_for_fy_2025_26_no,amt,application_received_during_current_fiscal_no,sanctioned_during_the_year_including_application_received_during_previous_year_n,amount,of_which_girl_student_no,amount,disbursed_during_the_financial_year_2025_26_till_30th_june_2025_no,amount,education_loan_outstanding_as_on_30th_june_2025_no,amount,of_which_girl_student_no,amount
Bokaro,1942,5189,152,152,1439.43,53,759.52,435,759.76,3550,15678.69,1108,5628.07
Chatra,82,175,10,10,49.08,1,3.88,25,37.13,245,783.30,35,136.73
Deoghar,612,1820,61,61,312.78,14,80.08,174,292.20,1216,5995.90,318,1995.48
Dhanbad,3189,6530,289,289,1653.68,114,645.91,1069,1434.83,5632,22449.54,1519,6877.23
Dumka,88,224,10,10,36.79,4,17.18,86,43.94,252,964.24,75,265.89
East Singhbhum,4174,20255,495,495,4574.51,219,2020.46,1251,4253.91,9156,67385.46,3341,24809.08
Garhwa,134,289,8,8,52.32,1,1.19,18,17.81,281,935.81,65,202.00
Giridih,455,991,48,48,191.06,11,64.53,106,152.98,1087,3840.71,244,1077.67
Godda,202,358,16,16,55.20,7,37.32,47,61.67,411,1454.42,101,441.71
Gumla,283,471,36,36,87.78,33,75.40,65,72.49,479,1260.54,310,619.80
Hazaribagh,755,1967,67,67,428.96,27,210.57,212,414.11,1584,6917.64,399,2112.92
Jamtara,208,351,23,23,96.26,17,66.28,39,64.92,447,797.34,303,320.74
Khunti,78,258,8,8,95.87,3,62.34,10,11.34,177,698.33,67,285.17
Koderma,296,580,21,21,90.44,3,3.25,65,118.88,580,2277.82,139,605.44
Latehar,125,282,57,57,125.10,50,90.62,67,87.17,261,658.36,129,238.57
Lohardaga,91,212,11,11,54.22,6,26.75,22,35.15,233,867.91,85,323.64
Pakur,69,162,3,3,6.79,,,18,32.87,113,410.07,43,115.91
Palamu,375,883,42,42,212.28,16,86.85,101,145.77,813,2893.39,199,795.51
Ramgarh,486,1348,44,44,264.22,14,77.65,133,264.65,1127,4677.03,339,1697.60
Ranchi,6064,22252,606,606,6038.57,258,2755.15,1329,3273.22,12967,74815.23,4809,25686.23
Sahibganj,230,381,9,9,19.21,6,9.90,28,40.76,579,1247.03,352,493.68
Seraikela-Kharsawan,1191,2237,70,70,418.52,34,141.66,175,265.83,2226,7486.73,677,1906.18
Simdega,53,153,17,17,72.46,12,33.45,26,26.49,163,438.57,78,154.88
West Singhbhum,604,1633,49,49,399.83,24,172.21,146,311.88,1554,6772.84,739,2468.65
