district,total_bc,bc_inactive,bc_active_a,male_out_of_a,female,fixed_yes,fixed_no,pos_yes,pos_no,extending_all_basic_banking_facilities,limited_services_[eg_only_aeps_receipt_and_payment]
Bokaro,6595,1351,5244,4765,479,2342,2902,806,4438,2924,2320
Chatra,6466,1242,5224,4736,488,1382,3842,627,4597,2372,2852
Deoghar,6474,896,5578,5194,384,2653,2925,477,5101,2776,2802
Dhanbad,7491,1236,6255,5705,550,2850,3405,1227,5028,3929,2326
Dumka,5004,874,4130,3755,375,2218,1912,672,3458,2504,1626
East Singhbhum,5076,966,4110,3642,468,2107,2003,838,3272,2747,1363
Garhwa,10885,2697,8188,7602,586,2475,5713,1161,7027,3516,4672
Giridih,14615,3095,11520,10406,1114,6114,5406,1733,9787,6724,4796
Godda,8052,2223,5829,5320,509,1997,3832,1020,4809,3402,2427
Gumla,4018,739,3279,2846,433,1381,1898,530,2749,1968,1311
Hazaribagh,6800,1486,5314,4628,686,2253,3061,910,4404,3326,1988
Jamtara,2480,388,2092,1966,126,937,1155,177,1915,1138,954
Khunti,2017,361,1656,1340,316,788,868,342,1314,1060,596
Koderma,3088,570,2518,2256,262,1000,1518,296,2222,1295,1223
Latehar,5177,1150,4027,3737,290,1181,2846,602,3425,1810,2217
Lohardaga,2635,364,2271,2023,248,909,1362,276,1995,1090,1181
Pakur,3752,904,2848,2648,200,1285,1563,441,2407,1659,1189
Palamu,10350,2159,8191,7431,760,4235,3956,1422,6769,4716,3475
Ramgarh,3773,630,3143,2725,418,1653,1490,702,2441,2213,930
Ranchi,8757,1470,7287,6442,845,4005,3282,1350,5937,4922,2365
Sahibganj,5004,1282,3722,3420,302,1878,1844,690,3032,2408,1314
Seraikela-Kharsawan,3027,638,2389,2148,241,906,1483,346,2043,1308,1081
Simdega,2740,454,2286,1985,301,885,1401,444,1842,1318,968
West Singhbhum,5142,1270,3872,3360,512,1570,2302,937,2935,2631,1241
