district,target_no,amt,agriculture_no,amt,education_no,amt,housing_no,amt,personal_loans_under_nps_no,amt,others_no,amt,total_nps_no,amt,achv_pct_amt
Bokaro,58513,377725,18,23.16,21,157.11,344,4337.35,2126,11725.19,20193,82407.83,22702,98650.64,26.12
Chatra,8715,35846,9,30.82,,3.09,9,137.55,305,1840.33,2582,7435.60,2905,9447.38,26.36
Deoghar,25562,114267,42,73.88,9,37.34,137,2366.69,935,4067.18,8125,27702.47,9248,34247.56,29.97
Dhanbad,98401,591708,23,61.20,28,206.44,569,7249.24,3342,29236.88,31969,188196.43,35931,224950.20,38.02
Dumka,14405,57506,42,36.00,,11.82,27,389.93,440,2037.60,3990,13705.55,4499,16180.90,28.14
East Singhbhum,206945,1161348,14,67.01,317,2589.09,856,15774.15,5562,23573.59,58006,283463.27,64755,325467.10,28.02
Garhwa,10528,40650,4,12.51,1,1.92,26,368.06,351,1688.88,2976,8966.47,3358,11037.84,27.15
Giridih,28583,170439,44,119.35,5,30.37,81,1689.35,830,3245.37,8886,42093.25,9846,47177.70,27.68
Godda,12679,55406,81,49.24,3,0.85,27,623.39,354,1067.28,3680,12290.23,4145,14030.99,25.32
Gumla,6862,30767,13,42.67,,,18,224.74,185,1013.77,2032,6834.02,2248,8115.20,26.38
Hazaribagh,49450,190611,16,57.06,17,114.00,185,3344.72,1142,7394.89,14396,39464.62,15756,50375.28,26.43
Jamtara,6797,26846,40,21.73,2,17.95,11,125.41,194,720.42,2053,5746.39,2300,6631.90,24.70
Khunti,5951,29712,1,0.40,,,24,265.36,113,538.41,1972,7203.30,2110,8007.47,26.95
Koderma,13221,55001,7,16.99,2,31.95,26,260.98,337,1425.97,4515,14765.99,4887,16501.88,30.00
Latehar,7980,33947,19,76.24,1,4.93,10,68.99,188,1027.59,2369,6649.64,2587,7827.39,23.06
Lohardaga,5866,23103,1,0.50,,3.65,8,59.65,106,492.85,1848,4976.95,1963,5533.60,23.95
Pakur,13455,34043,10,6.80,2,9.28,20,193.26,126,490.73,3106,7306.08,3264,8006.15,23.52
Palamu,26762,91343,17,62.89,2,24.20,41,604.55,761,3757.83,7687,19320.01,8508,23769.49,26.02
Ramgarh,26154,164137,7,22.06,4,33.44,142,2272.60,786,5372.38,7373,44193.69,8312,51894.16,31.62
Ranchi,257945,3033075,35,25075.23,188,1283.83,1448,29272.61,5871,29120.14,71986,955109.73,79528,1039861.54,34.28
Sahibganj,10772,39932,61,152.13,1,10.48,11,184.45,294,1204.29,2744,8158.30,3111,9709.65,24.32
Simdega,3925,15341,6,26.97,,,6,50.54,101,445.28,1236,3555.18,1349,4077.97,26.58
West Singhbhum,18503,411657,13,62.77,6,58.08,91,1359.21,826,3233.88,4845,131615.84,5781,136329.78,33.12
