district,kccs_for_animal_husbandry_and_allied_activities_as_of_30062025_no,amt,from_01042025_to_30062025_no,amt,farmers_producer_organizations_as_of_30062025_no,amt,from_01042025_to_30062025_no,amt,dairy_as_of_30062025_no,amt,from_01042025_to_30062025_no,amt,farm_mechanization_as_of_30062025_no,amt,from_01042025_to_30062025_no,amt,poultry_as_of_30062025_no,amt,from_01042025_to_30062025_no,amt,fisheries_as_of_30062025_no,amt,from_01042025_to_30062025_no,amt,rural_godowns_as_of_30062025_no,amt,from_01042025_to_30062025_no,amt,agri_clinics_as_of_30062025_no,amt,from_01042025_to_30062025_no,amt
Bokaro,210,163.61,49,31.53,,,,,1987,1325.44,242,377.52,2933,899.92,166,118.40,557,803.05,120,196.77,474,208.23,69,47.52,1,0.11,,,1,0.10,,
Chatra,178,78.34,29,17.90,1,5.04,,,863,465.61,105,143.10,1567,828.79,86,92.65,405,241.91,27,56.52,693,227.72,63,42.12,,,,,,,,
Deoghar,272,165.03,27,44.24,2,6.03,,,1095,1668.47,124,271.29,405,609.01,3,6.02,65,117.64,26,52.81,23,20.44,8,5.38,35,37.55,,,,,,
Dhanbad,48791,9559.12,115,186.13,,,,,4194,3185.96,1213,887.83,3041,3820.34,210,158.11,1081,1551.52,424,560.75,1763,663.54,508,245.74,2,45.46,,,2,2.52,1,36.00
Dumka,78,42.98,11,7.72,5,32.12,,,620,351.09,29,20.27,443,996.24,30,15.95,137,149.86,16,10.76,222,61.86,30,11.79,,,,,,,,
East Singhbhum,229,258.54,48,57.00,2,13.05,,,1991,4656.66,364,881.28,3004,2502.85,102,151.25,690,693.02,131,175.52,272,166.67,46,56.99,2,8.84,,,1,4.15,,
Garhwa,115,62.32,24,8.52,1,,,,1964,635.18,161,78.88,3952,1555.96,209,145.12,245,134.53,23,26.06,334,89.14,24,10.19,118,25.09,,,,,,
Giridih,279,208.37,80,44.09,,,,,2689,1501.72,288,524.36,4136,2580.83,150,337.70,1048,548.34,93,103.18,877,302.96,88,52.32,10,252.12,,,2,1.18,,
Godda,198,84.57,12,3.17,1,,,,4608,1342.85,431,302.61,2695,1155.53,192,108.33,151,150.71,15,6.64,231,71.54,26,14.17,,,,,,,,
Gumla,231,135.60,28,10.99,,,,,262,255.00,51,42.42,1287,764.88,44,59.31,210,199.85,12,16.64,36,14.70,4,2.51,,,,,,,,
Hazaribagh,619,333.10,174,76.86,,,,,3136,2020.30,433,510.50,6076,2583.69,308,248.87,766,1240.79,81,318.80,858,572.32,88,47.91,8,919.20,2,17.44,,,,
Jamtara,59,21.45,4,0.82,,,,,149,151.04,9,2.49,66,122.22,2,1.10,49,33.93,7,13.30,30,11.62,11,4.35,,,,,,,,
Khunti,288,114.51,60,12.31,2,26.93,,,235,140.51,50,37.69,714,400.94,11,8.86,87,76.17,20,7.41,31,15.74,7,0.26,,,,,,,,
Koderma,382,190.83,114,52.50,,,,,311,203.65,67,32.51,2119,924.16,153,104.29,89,136.76,22,12.50,68,56.64,27,16.30,,,,,,,,
Latehar,260,93.22,19,4.49,,,,,225,160.55,32,29.24,886,1324.65,24,51.67,102,104.31,6,1.18,20,15.28,4,2.22,,,,,,,,
Lohardaga,602,223.73,111,37.79,,,,,617,437.57,108,91.86,404,617.01,6,33.96,57,99.47,8,7.33,86,46.26,16,12.16,,,,,,,,
Pakur,173,109.86,25,15.17,,,,,3087,951.02,308,146.49,96,35.76,1,0.20,119,43.98,28,15.24,695,199.16,38,19.00,3,134.44,2,23.52,,,,
Palamu,124,76.19,17,7.47,,,,,2749,1015.51,146,74.65,8325,3339.62,301,255.20,701,483.60,54,21.07,1653,471.33,187,96.79,,,,,2,32.25,,
Ramgarh,319,167.33,149,45.17,1,27.51,1,7.35,2663,956.07,224,146.43,1957,700.90,57,42.63,861,443.54,148,112.06,742,296.13,77,46.99,4,29.24,1,15.00,,,,
Ranchi,1357,1302.95,233,168.34,1,0.00,,,4744,4079.97,633,641.66,6467,13870.18,461,2383.83,466,849.35,83,325.65,602,322.82,117,69.24,13,1533.83,5,213.58,12,30.21,,
Sahibganj,389,272.24,44,27.76,,,,,1680,572.25,95,60.28,1805,1297.96,142,123.97,171,77.16,29,14.98,589,190.97,81,46.07,1,56.75,,,,,,
Seraikela-Kharsawan,216,180.17,39,13.33,,,,,581,811.93,86,202.78,1758,1381.89,25,34.23,247,1244.02,86,71.90,229,204.07,61,34.24,,,,,1,14.14,,
Simdega,528,81.44,96,12.10,1,0.78,1,0.30,235,117.50,35,4.36,147,333.04,15,75.56,249,63.69,54,22.45,52,18.10,8,3.83,,,,,,,,
West Singhbhum,165,183.14,34,36.97,,,,,555,586.63,47,64.88,2389,1981.08,15,41.82,286,154.95,69,55.26,89,64.90,24,25.31,65,135.65,,,1,14.40,,
