district,during_the_march_2025_quarter_savings_linked_no,amt,credit_linked_no,amt,during_the_fy_2025_26_savings_linked_no,amt,credit_linked_no,amt,outstanding_at_the_quarter_end_no,amt,outstanding_npa_at_the_quarter_end_no,amt,loans_to_jlgs_disbursement_no,amt,outstanding_no,amt
Bokaro,111,103.97,257,945.69,624,712.36,1041,2801.81,13997,37479.12,389,282.77,2095,3030.84,20767,17214.61
Chatra,121,122.47,196,518.70,205,172.61,274,648.54,10271,26625.39,381,222.19,1155,1357.64,13111,8594.58
Deoghar,78,43.79,122,211.77,800,1064.18,1839,4795.00,10175,22092.08,608,516.39,1543,1818.40,10566,8333.02
Dhanbad,171,91.17,321,1060.35,839,708.95,1995,4733.44,10905,27717.37,383,217.17,6361,10502.72,66078,55319.67
Dumka,82,89.95,160,317.04,649,375.05,1357,4089.64,11262,26013.27,351,322.61,2290,2259.40,24423,13054.04
East Singhbhum,187,66.71,291,1452.75,749,128.00,411,1572.18,14842,44443.07,433,333.02,3156,4288.31,28597,22751.29
Garhwa,50,50.04,52,105.03,102,68.64,125,256.22,12058,24562.84,138,77.37,3528,4218.93,31759,24990.79
Giridih,233,145.34,287,959.87,1678,1988.57,2784,7357.32,18232,47179.85,686,488.17,6941,9935.22,62073,54111.23
Godda,119,175.31,223,447.55,651,709.16,1179,3209.84,9829,27043.62,266,258.17,2608,3670.66,21800,18903.49
Gumla,74,15.53,133,676.22,398,552.70,521,1556.54,7710,22391.28,528,509.17,1254,1765.48,7122,8597.70
Hazaribagh,173,141.06,286,825.79,371,275.03,501,1261.99,16366,47617.37,390,257.14,3119,3759.11,31635,22658.05
Jamtara,73,51.94,94,178.76,337,403.44,454,930.44,6655,14260.69,248,356.04,238,98.98,1497,379.09
Khunti,50,49.62,88,273.71,229,123.99,238,556.16,5303,14710.66,129,164.26,289,537.52,2500,3196.45
Koderma,85,53.07,143,518.90,127,66.86,248,875.08,7134,23526.66,236,236.45,1319,1899.79,12545,10653.07
Latehar,61,115.55,94,257.56,189,394.91,500,1178.15,8208,21577.57,239,130.51,824,1330.53,6945,8369.76
Lohardaga,62,1.40,84,321.99,161,23.38,145,399.69,4859,14048.95,306,430.69,462,449.18,4511,2803.67
Pakur,133,187.41,214,497.84,304,481.39,803,2499.03,7809,21910.63,322,289.10,2885,4875.76,15737,21080.54
Palamu,138,95.92,163,253.26,244,185.86,189,301.79,17069,35906.67,363,357.20,4944,5460.46,51009,32750.41
Ramgarh,71,51.62,117,488.20,261,625.04,192,675.35,6688,18841.73,218,238.85,1595,2686.95,16310,15834.36
Ranchi,193,88.04,297,1530.98,1040,470.12,1368,6261.02,19869,58424.25,840,1316.56,3599,5475.34,35599,28203.99
Sahibganj,80,109.52,193,328.66,289,337.49,537,1322.68,9579,23133.47,179,166.44,2149,3273.42,16690,16969.64
Seraikela-Kharsawan,75,16.64,119,521.50,106,19.38,136,543.97,9005,26300.15,495,482.40,678,855.18,6150,4744.54
Simdega,65,6.72,56,178.74,157,35.58,193,467.78,5531,14462.16,162,144.17,555,326.47,3513,1280.58
West Singhbhum,73,10.71,165,528.18,136,90.43,252,737.97,11686,36866.64,217,227.29,739,1075.31,7203,6777.67
